ID,Name,Position,Team,Pick,Year,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
10,Mekhi Becton,T,Jets,11,2020,276.0,4368.0,956.0,4.6,25.0,9.0,253.0,323.0,521.0,3111.0,19.0,16.0,5.4,162.0,383.0,1257.0,6.0,3.3,61.0,115.0,1105.0,30.0,189.0,23.3,11.6,27.0,2.45,5.21,22.9,1.23,359.0,5170.0,1037.0,5.0,21.0,9.0,302.0,363.0,585.0,3779.0,25.0,12.0,6.1,187.0,417.0,1391.0,12.0,3.3,75.0,107.0,902.0,40.0,193.0,33.7,9.8,31.4,2.58,5.5,26.7,1.78,31.0,32.0,23.0,15.0,31.0,22.0,29.0,27.0,23.0,29.0,26.0,31.0,31.0,32.0,32.0,16.0,28.0,28.0,30.0,32.0,32.0,16.0,7.0,17.0,14.0,7.0,24.0,17.0,17.0,17.0,13.0,18.0,2.0,9.0,2.0,22.0,20.0,30.0,8.0,4.0,5.0,11.0
11,Henry Ruggs,WR,Raiders,12,2020,313.0,5819.0,989.0,5.9,17.0,9.0,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,194.0,437.0,1893.0,13.0,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,27.2,3.0,6.15,35.1,1.83,419.0,5677.0,963.0,5.9,15.0,6.0,344.0,337.0,526.0,4107.0,33.0,9.0,7.4,201.0,405.0,1570.0,15.0,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,25.7,2.8,6.0,34.2,2.39,24.0,11.0,7.0,15.0,18.0,21.0,9.0,19.0,5.0,6.0,11.0,13.0,18.0,17.0,22.0,25.0,27.0,3.0,7.0,5.0,19.0,24.0,19.0,31.0,27.0,23.0,7.0,25.0,27.0,29.0,30.0,12.0,8.0,21.0,5.0,6.0,30.0,2.0,23.0,22.0,27.0,31.0
12,Tristan Wirfs,T,Buccaneers,13,2020,458.0,6366.0,1086.0,5.9,41.0,11.0,353.0,382.0,630.0,4845.0,33.0,30.0,7.2,244.0,409.0,1521.0,15.0,3.7,81.0,133.0,1111.0,28.0,198.0,37.9,20.2,28.1,2.5,5.66,32.1,2.11,449.0,5503.0,1073.0,5.1,28.0,16.0,331.0,408.0,664.0,4322.0,30.0,12.0,6.1,222.0,362.0,1181.0,11.0,3.3,70.0,111.0,971.0,39.0,198.0,39.4,13.6,31.4,2.37,5.6,27.8,2.01,3.0,3.0,32.0,22.0,5.0,4.0,1.0,3.0,32.0,4.0,14.0,24.0,15.0,28.0,10.0,1.0,21.0,25.0,25.0,11.0,9.0,29.0,15.0,5.0,2.0,19.0,32.0,30.0,25.0,17.0,12.0,4.0,1.0,7.0,1.0,10.0,9.0,29.0,3.0,7.0,6.0,17.0
13,Javon Kinlaw,DT,49ers,14,2020,479.0,6097.0,1012.0,6.0,23.0,10.0,336.0,331.0,478.0,3792.0,28.0,13.0,7.4,195.0,498.0,2305.0,23.0,4.6,110.0,105.0,939.0,31.0,183.0,44.3,12.0,32.1,2.77,5.74,33.1,2.44,310.0,4509.0,968.0,4.7,27.0,15.0,285.0,318.0,519.0,2707.0,23.0,12.0,4.8,150.0,401.0,1802.0,11.0,4.5,105.0,116.0,957.0,30.0,177.0,28.8,14.1,28.5,2.62,5.6,25.4,1.63,2.0,4.0,19.0,19.0,14.0,29.0,13.0,10.0,18.0,3.0,2.0,2.0,1.0,9.0,5.0,12.0,4.0,11.0,22.0,9.0,4.0,8.0,2.0,6.0,4.0,3.0,6.0,1.0,13.0,17.0,1.0,9.0,17.0,7.0,23.0,30.0,6.0,16.0,9.0,6.0,2.0,4.0
14,Jerry Jeudy,WR,Broncos,15,2020,282.0,4777.0,954.0,5.0,16.0,6.0,279.0,312.0,504.0,3115.0,16.0,10.0,5.7,162.0,409.0,1662.0,11.0,4.1,77.0,110.0,912.0,40.0,173.0,32.4,9.2,27.6,2.72,5.71,27.6,1.6,316.0,5392.0,1003.0,5.4,17.0,7.0,305.0,348.0,537.0,3609.0,19.0,10.0,6.3,175.0,426.0,1783.0,9.0,4.2,96.0,121.0,1041.0,34.0,171.0,36.3,8.8,28.7,2.87,6.1,31.5,1.74,28.0,28.0,6.0,2.0,29.0,27.0,28.0,32.0,12.0,24.0,14.0,20.0,22.0,21.0,21.0,26.0,26.0,13.0,20.0,27.0,27.0,10.0,12.0,25.0,24.0,9.0,10.0,11.0,5.0,25.0,15.0,20.0,16.0,5.0,13.0,14.0,31.0,16.0,27.0,26.0,19.0,9.0
15,A.J. Terrell,DB,Falcons,16,2020,381.0,6075.0,1096.0,5.5,25.0,10.0,383.0,459.0,684.0,4714.0,29.0,15.0,6.4,258.0,362.0,1361.0,10.0,3.8,84.0,119.0,956.0,41.0,174.0,40.8,13.2,28.7,2.85,6.53,34.9,2.12,399.0,5693.0,985.0,5.8,20.0,8.0,330.0,351.0,536.0,3918.0,28.0,12.0,6.9,192.0,421.0,1775.0,13.0,4.2,108.0,127.0,1080.0,30.0,167.0,42.5,9.0,28.8,2.78,6.1,34.1,2.26,13.0,5.0,23.0,19.0,2.0,1.0,3.0,8.0,21.0,14.0,29.0,30.0,24.0,26.0,7.0,8.0,13.0,7.0,2.0,6.0,8.0,23.0,20.0,19.0,21.0,18.0,8.0,22.0,23.0,17.0,26.0,19.0,15.0,14.0,16.0,2.0,26.0,18.0,21.0,25.0,25.0,27.0
16,CeeDee Lamb,WR,Cowboys,17,2020,434.0,6904.0,1069.0,6.5,18.0,7.0,379.0,388.0,597.0,4751.0,30.0,11.0,7.7,229.0,449.0,2153.0,18.0,4.8,120.0,109.0,1008.0,30.0,175.0,44.6,10.3,26.3,2.7,6.34,39.4,2.43,321.0,5232.0,1015.0,5.2,17.0,10.0,327.0,370.0,569.0,3576.0,21.0,7.0,5.9,188.0,407.0,1656.0,14.0,4.1,101.0,102.0,855.0,38.0,173.0,35.3,9.8,30.2,2.82,6.1,30.2,1.87,6.0,1.0,9.0,5.0,3.0,10.0,2.0,5.0,14.0,1.0,8.0,5.0,7.0,5.0,4.0,21.0,29.0,15.0,4.0,1.0,5.0,11.0,9.0,25.0,10.0,16.0,20.0,10.0,8.0,30.0,8.0,13.0,11.0,17.0,8.0,18.0,21.0,26.0,23.0,24.0,11.0,14.0
17,Austin Jackson,T,Dolphins,18,2020,306.0,4960.0,1022.0,4.9,26.0,8.0,315.0,371.0,615.0,3804.0,22.0,18.0,5.7,210.0,349.0,1156.0,10.0,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,27.7,2.53,5.78,27.1,1.61,494.0,6364.0,1053.0,6.0,16.0,3.0,361.0,344.0,545.0,4198.0,39.0,13.0,7.4,214.0,485.0,2166.0,15.0,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,30.5,2.73,5.9,34.2,2.55,25.0,27.0,25.0,11.0,18.0,7.0,12.0,19.0,27.0,26.0,32.0,32.0,24.0,31.0,26.0,9.0,23.0,22.0,19.0,29.0,25.0,32.0,30.0,28.0,31.0,30.0,14.0,26.0,32.0,12.0,32.0,30.0,27.0,21.0,22.0,1.0,28.0,27.0,20.0,20.0,26.0,32.0
18,Damon Arnette,DB,Raiders,19,2020,313.0,5819.0,989.0,5.9,17.0,9.0,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,194.0,437.0,1893.0,13.0,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,27.2,3.0,6.15,35.1,1.83,419.0,5677.0,963.0,5.9,15.0,6.0,344.0,337.0,526.0,4107.0,33.0,9.0,7.4,201.0,405.0,1570.0,15.0,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,25.7,2.8,6.0,34.2,2.39,24.0,11.0,7.0,15.0,18.0,21.0,9.0,19.0,5.0,6.0,11.0,13.0,18.0,17.0,22.0,25.0,27.0,3.0,7.0,5.0,19.0,24.0,19.0,31.0,27.0,23.0,7.0,25.0,27.0,29.0,30.0,12.0,8.0,21.0,5.0,6.0,30.0,2.0,23.0,22.0,27.0,31.0
19,K'Lavon Chaisson,DE,Jaguars,20,2020,300.0,5468.0,1020.0,5.4,20.0,12.0,298.0,364.0,589.0,3760.0,24.0,8.0,6.0,183.0,389.0,1708.0,3.0,4.4,85.0,132.0,1165.0,30.0,177.0,33.9,10.2,25.9,2.75,5.95,30.9,1.63,397.0,6007.0,999.0,6.0,19.0,9.0,340.0,327.0,517.0,3778.0,22.0,10.0,6.7,193.0,435.0,2229.0,23.0,5.1,114.0,102.0,883.0,33.0,180.0,37.2,9.4,29.5,2.62,5.7,33.2,2.12,26.0,20.0,13.0,26.0,27.0,12.0,16.0,17.0,5.0,19.0,23.0,17.0,32.0,15.0,19.0,22.0,32.0,13.0,14.0,17.0,26.0,21.0,24.0,22.0,14.0,21.0,5.0,16.0,12.0,25.0,23.0,22.0,28.0,31.0,31.0,13.0,24.0,21.0,9.0,10.0,22.0,23.0
20,Jalen Reagor,WR,Eagles,21,2020,385.0,5772.0,1104.0,5.2,23.0,15.0,354.0,391.0,613.0,3833.0,27.0,8.0,5.9,215.0,454.0,1939.0,16.0,4.3,104.0,100.0,836.0,35.0,187.0,34.8,10.7,28.5,2.83,6.04,30.7,1.96,354.0,5307.0,967.0,5.5,20.0,9.0,289.0,348.0,571.0,3865.0,27.0,11.0,6.3,185.0,353.0,1442.0,13.0,4.1,76.0,115.0,959.0,28.0,188.0,33.5,10.1,28.9,2.32,5.3,28.1,1.86,12.0,14.0,19.0,31.0,4.0,8.0,11.0,12.0,5.0,20.0,7.0,11.0,13.0,19.0,17.0,19.0,17.0,7.0,10.0,18.0,15.0,15.0,10.0,19.0,14.0,5.0,21.0,19.0,21.0,22.0,16.0,3.0,3.0,14.0,11.0,24.0,19.0,19.0,1.0,2.0,7.0,13.0
21,Justin Jefferson,WR,Vikings,22,2020,407.0,5656.0,970.0,5.8,20.0,12.0,314.0,319.0,466.0,3523.0,26.0,8.0,7.1,171.0,476.0,2133.0,19.0,4.5,106.0,96.0,895.0,37.0,173.0,41.6,10.4,29.6,2.67,5.77,32.6,2.29,303.0,5465.0,1053.0,5.2,31.0,14.0,324.0,394.0,601.0,3737.0,23.0,17.0,5.8,215.0,404.0,1728.0,8.0,4.3,78.0,83.0,713.0,31.0,173.0,34.7,17.3,28.3,2.88,6.3,31.6,1.76,8.0,16.0,13.0,26.0,20.0,30.0,23.0,14.0,5.0,5.0,4.0,6.0,6.0,12.0,6.0,17.0,6.0,18.0,21.0,10.0,6.0,5.0,14.0,4.0,5.0,14.0,28.0,15.0,13.0,3.0,7.0,11.0,13.0,3.0,19.0,21.0,3.0,15.0,27.0,30.0,16.0,7.0
22,Kenneth Murray,LB,Chargers,23,2020,337.0,5879.0,997.0,5.9,31.0,11.0,349.0,394.0,597.0,4426.0,24.0,20.0,7.0,220.0,366.0,1453.0,12.0,4.0,90.0,103.0,872.0,39.0,160.0,38.8,18.1,26.3,3.08,6.44,36.6,2.06,345.0,5009.0,923.0,5.4,14.0,3.0,285.0,328.0,464.0,3204.0,21.0,11.0,6.5,156.0,429.0,1805.0,15.0,4.2,101.0,108.0,959.0,28.0,161.0,36.6,8.7,29.5,2.93,5.9,31.1,1.99,21.0,10.0,29.0,22.0,7.0,10.0,6.0,17.0,29.0,8.0,28.0,28.0,20.0,23.0,8.0,2.0,31.0,2.0,3.0,4.0,11.0,14.0,6.0,32.0,31.0,3.0,1.0,5.0,8.0,22.0,20.0,21.0,18.0,21.0,15.0,15.0,32.0,23.0,29.0,21.0,15.0,18.0
23,Cesar Ruiz,C,Saints,24,2020,458.0,5982.0,1011.0,5.9,8.0,2.0,347.0,418.0,581.0,4244.0,36.0,6.0,7.0,230.0,405.0,1738.0,12.0,4.3,97.0,120.0,1036.0,20.0,173.0,46.2,4.0,33.7,2.98,6.05,34.6,2.5,341.0,5329.0,999.0,5.3,23.0,10.0,311.0,371.0,603.0,3868.0,27.0,13.0,5.9,197.0,345.0,1461.0,12.0,4.2,71.0,92.0,713.0,43.0,174.0,35.1,12.6,26.5,2.55,5.9,30.6,1.95,3.0,9.0,1.0,1.0,8.0,13.0,7.0,2.0,3.0,9.0,17.0,16.0,20.0,18.0,3.0,32.0,2.0,4.0,9.0,7.0,3.0,13.0,11.0,10.0,10.0,12.0,30.0,20.0,21.0,12.0,10.0,2.0,4.0,9.0,17.0,19.0,12.0,5.0,5.0,19.0,12.0,16.0
24,Brandon Aiyuk,WR,49ers,25,2020,479.0,6097.0,1012.0,6.0,23.0,10.0,336.0,331.0,478.0,3792.0,28.0,13.0,7.4,195.0,498.0,2305.0,23.0,4.6,110.0,105.0,939.0,31.0,183.0,44.3,12.0,32.1,2.77,5.74,33.1,2.44,310.0,4509.0,968.0,4.7,27.0,15.0,285.0,318.0,519.0,2707.0,23.0,12.0,4.8,150.0,401.0,1802.0,11.0,4.5,105.0,116.0,957.0,30.0,177.0,28.8,14.1,28.5,2.62,5.6,25.4,1.63,2.0,4.0,19.0,19.0,14.0,29.0,13.0,10.0,18.0,3.0,2.0,2.0,1.0,9.0,5.0,12.0,4.0,11.0,22.0,9.0,4.0,8.0,2.0,6.0,4.0,3.0,6.0,1.0,13.0,17.0,1.0,9.0,17.0,7.0,23.0,30.0,6.0,16.0,9.0,6.0,2.0,4.0
25,Jordan Love,QB,Packers,26,2020,376.0,5528.0,1020.0,5.4,13.0,9.0,320.0,356.0,573.0,3733.0,26.0,4.0,6.1,190.0,411.0,1795.0,18.0,4.4,90.0,100.0,774.0,40.0,177.0,37.3,6.8,34.1,2.85,5.9,31.2,2.11,313.0,5642.0,998.0,5.7,25.0,8.0,310.0,326.0,546.0,3721.0,19.0,17.0,6.3,191.0,411.0,1921.0,15.0,4.7,99.0,97.0,968.0,20.0,178.0,34.3,14.0,28.0,2.57,5.8,31.7,1.79,15.0,18.0,2.0,15.0,16.0,16.0,17.0,14.0,1.0,16.0,13.0,15.0,7.0,16.0,12.0,31.0,1.0,7.0,15.0,15.0,10.0,9.0,18.0,7.0,21.0,11.0,15.0,14.0,5.0,3.0,18.0,14.0,23.0,21.0,24.0,23.0,7.0,13.0,7.0,13.0,18.0,8.0
