Year,Round,Pick,Name,Team,Position,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
2020,1,11,Mekhi Becton,Jets,T,276,4368,956.0,4.6,25,9,253,323.0,521,3111,19,16,5.4,162.0,383,1257,6,3.3,61.0,115.0,1105.0,30.0,189.0,23.3,11.6,Own 27.0,2:27,5.21,22.9,1.23,359,5170,1037.0,5.0,21,9,302,363.0,585,3779,25,12,6.1,187.0,417,1391,12,3.3,75.0,107.0,902.0,40.0,193.0,33.7,9.8,Own 31.4,2:35,5.5,26.7,1.78,31,32,23,15,31,22,29,27,23,29.0,26,31,31,32.0,32.0,16.0,28,28,30.0,32.0,32.0,16,7,17,14,7,24,17,17,17,13.0,18,2,9,2.0,22.0,20.0,30,8,4.0,5.0,11.0
2020,1,12,Henry Ruggs,Raiders,WR,313,5819,989.0,5.9,17,9,315,367.0,523,3926,22,8,7.1,194.0,437,1893,13,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419,5677,963.0,5.9,15,6,344,337.0,526,4107,33,9,7.4,201.0,405,1570,15,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24,11,7,15,18,21,9,19,5,6.0,11,13,18,17.0,22.0,25.0,27,3,7.0,5.0,19.0,24,19,31,27,23,7,25,27,29,30.0,12,8,21,5.0,6.0,30.0,2,23,22.0,27.0,31.0
2020,1,13,Tristan Wirfs,Buccaneers,T,458,6366,1086.0,5.9,41,11,353,382.0,630,4845,33,30,7.2,244.0,409,1521,15,3.7,81.0,133.0,1111.0,28.0,198.0,37.9,20.2,Own 28.1,2:30,5.66,32.1,2.11,449,5503,1073.0,5.1,28,16,331,408.0,664,4322,30,12,6.1,222.0,362,1181,11,3.3,70.0,111.0,971.0,39.0,198.0,39.4,13.6,Own 31.4,2:22,5.6,27.8,2.01,3,3,32,22,5,4,1,3,32,4.0,14,24,15,28.0,10.0,1.0,21,25,25.0,11.0,9.0,29,15,5,2,19,32,30,25,17,12.0,4,1,7,1.0,10.0,9.0,29,3,7.0,6.0,17.0
2020,1,14,Javon Kinlaw,49ers,DT,479,6097,1012.0,6.0,23,10,336,331.0,478,3792,28,13,7.4,195.0,498,2305,23,4.6,110.0,105.0,939.0,31.0,183.0,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44,310,4509,968.0,4.7,27,15,285,318.0,519,2707,23,12,4.8,150.0,401,1802,11,4.5,105.0,116.0,957.0,30.0,177.0,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,2,4,19,19,14,29,13,10,18,3.0,2,2,1,9.0,5.0,12.0,4,11,22.0,9.0,4.0,8,2,6,4,3,6,1,13,17,1.0,9,17,7,23.0,30.0,6.0,16,9,6.0,2.0,4.0
2020,1,15,Jerry Jeudy,Broncos,WR,282,4777,954.0,5.0,16,6,279,312.0,504,3115,16,10,5.7,162.0,409,1662,11,4.1,77.0,110.0,912.0,40.0,173.0,32.4,9.2,Own 27.6,2:43,5.71,27.6,1.6,316,5392,1003.0,5.4,17,7,305,348.0,537,3609,19,10,6.3,175.0,426,1783,9,4.2,96.0,121.0,1041.0,34.0,171.0,36.3,8.8,Own 28.7,2:52,6.1,31.5,1.74,28,28,6,2,29,27,28,32,12,24.0,14,20,22,21.0,21.0,26.0,26,13,20.0,27.0,27.0,10,12,25,24,9,10,11,5,25,15.0,20,16,5,13.0,14.0,31.0,16,27,26.0,19.0,9.0
2020,1,16,A.J. Terrell,Falcons,DB,381,6075,1096.0,5.5,25,10,383,459.0,684,4714,29,15,6.4,258.0,362,1361,10,3.8,84.0,119.0,956.0,41.0,174.0,40.8,13.2,Own 28.7,2:51,6.53,34.9,2.12,399,5693,985.0,5.8,20,8,330,351.0,536,3918,28,12,6.9,192.0,421,1775,13,4.2,108.0,127.0,1080.0,30.0,167.0,42.5,9.0,Own 28.8,2:47,6.1,34.1,2.26,13,5,23,19,2,1,3,8,21,14.0,29,30,24,26.0,7.0,8.0,13,7,2.0,6.0,8.0,23,20,19,21,18,8,22,23,17,26.0,19,15,14,16.0,2.0,26.0,18,21,25.0,25.0,27.0
2020,1,17,CeeDee Lamb,Cowboys,WR,434,6904,1069.0,6.5,18,7,379,388.0,597,4751,30,11,7.7,229.0,449,2153,18,4.8,120.0,109.0,1008.0,30.0,175.0,44.6,10.3,Own 26.3,2:42,6.34,39.4,2.43,321,5232,1015.0,5.2,17,10,327,370.0,569,3576,21,7,5.9,188.0,407,1656,14,4.1,101.0,102.0,855.0,38.0,173.0,35.3,9.8,Own 30.2,2:49,6.1,30.2,1.87,6,1,9,5,3,10,2,5,14,1.0,8,5,7,5.0,4.0,21.0,29,15,4.0,1.0,5.0,11,9,25,10,16,20,10,8,30,8.0,13,11,17,8.0,18.0,21.0,26,23,24.0,11.0,14.0
2020,1,18,Austin Jackson,Dolphins,T,306,4960,1022.0,4.9,26,8,315,371.0,615,3804,22,18,5.7,210.0,349,1156,10,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053.0,6.0,16,3,361,344.0,545,4198,39,13,7.4,214.0,485,2166,15,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,25,11,18,7,12,19,27,26.0,32,32,24,31.0,26.0,9.0,23,22,19.0,29.0,25.0,32,30,28,31,30,14,26,32,12,32.0,30,27,21,22.0,1.0,28.0,27,20,20.0,26.0,32.0
2020,1,19,Damon Arnette,Raiders,DB,313,5819,989.0,5.9,17,9,315,367.0,523,3926,22,8,7.1,194.0,437,1893,13,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419,5677,963.0,5.9,15,6,344,337.0,526,4107,33,9,7.4,201.0,405,1570,15,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24,11,7,15,18,21,9,19,5,6.0,11,13,18,17.0,22.0,25.0,27,3,7.0,5.0,19.0,24,19,31,27,23,7,25,27,29,30.0,12,8,21,5.0,6.0,30.0,2,23,22.0,27.0,31.0
2020,1,20,K'Lavon Chaisson,Jaguars,DE,300,5468,1020.0,5.4,20,12,298,364.0,589,3760,24,8,6.0,183.0,389,1708,3,4.4,85.0,132.0,1165.0,30.0,177.0,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63,397,6007,999.0,6.0,19,9,340,327.0,517,3778,22,10,6.7,193.0,435,2229,23,5.1,114.0,102.0,883.0,33.0,180.0,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,26,20,13,26,27,12,16,17,5,19.0,23,17,32,15.0,19.0,22.0,32,13,14.0,17.0,26.0,21,24,22,14,21,5,16,12,25,23.0,22,28,31,31.0,13.0,24.0,21,9,10.0,22.0,23.0
