Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
DT,Saints,2016,12,408.0,6461.0,1096.0,5.9,20.0,8.0,381.0,460.0,667.0,4970.0,32.0,12.0,7.1,247.0,397.0,1491.0,16.0,3.8,98.0,130.0,1112.0,36.0,182.0,36.3,10.4,Own 26.4,2:45,6.16,35.5,2.14,476.0,6615.0,997.0,6.6,22.0,13.0,380.0,372.0,544.0,4544.0,45.0,9.0,7.9,223.0,422.0,2071.0,12.0,4.9,103.0,114.0,887.0,54.0,180.0,43.9,11.7,Own 27.0,2:35,5.7,36.7,2.58,8.0,2.0,,,11.0,7.0,1.0,,2.0,1.0,10.0,11.0,4.0,,20.0,24.0,6.0,27.0,,,,,,11.0,19.0,23.0,10.0,3.0,1.0,6.0,32.0,31.0,,,19.0,4.0,32.0,,9.0,31.0,32.0,26.0,32.0,,19.0,31.0,20.0,32.0,,,,,,1.0,18.0,10.0,13.0,13.0,32.0,32.0
 T,Dolphins,2016,13,310.0,5307.0,977.0,5.4,19.0,7.0,291.0,365.0,588.0,3811.0,24.0,12.0,6.0,194.0,344.0,1496.0,11.0,4.3,72.0,134.0,1090.0,25.0,187.0,25.7,9.6,Own 26.0,2:21,5.31,28.3,1.52,389.0,6019.0,1076.0,5.6,16.0,3.0,351.0,350.0,542.0,4000.0,31.0,13.0,7.0,203.0,503.0,2019.0,13.0,4.0,112.0,121.0,1005.0,36.0,191.0,34.0,8.4,Own 27.3,2:44,5.8,31.4,1.94,27.0,26.0,,,8.0,2.0,30.0,,17.0,19.0,19.0,11.0,24.0,,32.0,23.0,16.0,9.0,,,,,,30.0,23.0,26.0,28.0,29.0,25.0,27.0,19.0,25.0,,,29.0,30.0,26.0,,8.0,21.0,25.0,17.0,27.0,,31.0,28.0,23.0,13.0,,,,,,18.0,27.0,14.0,30.0,21.0,23.0,18.0
DB,Raiders,2016,14,359.0,5336.0,1008.0,5.3,24.0,10.0,300.0,373.0,605.0,3879.0,34.0,14.0,6.1,193.0,370.0,1457.0,7.0,3.9,74.0,139.0,1102.0,33.0,195.0,31.8,10.3,Own 29.4,2:25,5.3,27.3,1.79,399.0,5818.0,1085.0,5.4,25.0,11.0,344.0,404.0,641.0,4140.0,25.0,14.0,6.1,206.0,406.0,1678.0,12.0,4.1,94.0,104.0,943.0,44.0,191.0,38.2,11.5,Own 27.7,2:36,5.9,30.5,1.92,17.0,24.0,,,17.0,18.0,26.0,,14.0,16.0,6.0,19.0,23.0,,29.0,28.0,24.0,22.0,,,,,,22.0,20.0,6.0,26.0,30.0,27.0,20.0,22.0,22.0,,,12.0,11.0,25.0,,30.0,26.0,15.0,13.0,10.0,,11.0,13.0,20.0,18.0,,,,,,5.0,20.0,18.0,14.0,26.0,16.0,16.0
WR,Browns,2016,15,278.0,5311.0,1042.0,5.1,30.0,18.0,307.0,371.0,609.0,3782.0,20.0,12.0,5.7,192.0,380.0,1529.0,5.0,4.0,81.0,120.0,1083.0,34.0,178.0,29.8,15.2,Own 27.4,2:47,6.03,29.8,1.46,432.0,6067.0,998.0,6.1,21.0,10.0,321.0,322.0,511.0,4012.0,34.0,11.0,7.4,186.0,458.0,2055.0,11.0,4.5,104.0,108.0,833.0,31.0,179.0,41.9,11.7,Own 29.0,2:42,5.8,33.8,2.26,30.0,25.0,,,26.0,32.0,23.0,,11.0,21.0,26.0,11.0,29.0,,27.0,22.0,29.0,16.0,,,,,,25.0,5.0,15.0,9.0,6.0,19.0,30.0,29.0,27.0,,,22.0,14.0,19.0,,4.0,22.0,29.0,21.0,31.0,,25.0,30.0,17.0,27.0,,,,,,2.0,17.0,27.0,25.0,20.0,29.0,31.0
 T,Lions,2016,16,358.0,5547.0,1030.0,5.4,24.0,10.0,337.0,420.0,632.0,4212.0,33.0,14.0,6.2,236.0,354.0,1335.0,7.0,3.8,71.0,104.0,930.0,30.0,179.0,34.6,12.3,Own 25.6,2:49,5.89,31.0,1.93,400.0,5597.0,999.0,5.6,19.0,10.0,319.0,360.0,528.0,3789.0,27.0,9.0,6.6,191.0,428.0,1808.0,18.0,4.2,96.0,96.0,785.0,32.0,186.0,38.2,9.1,Own 29.2,2:31,5.5,30.0,2.13,18.0,20.0,,,17.0,18.0,8.0,,4.0,9.0,8.0,19.0,18.0,,30.0,32.0,24.0,26.0,,,,,,16.0,13.0,28.0,6.0,9.0,14.0,13.0,23.0,18.0,,,25.0,14.0,17.0,,6.0,15.0,18.0,26.0,21.0,,20.0,19.0,30.0,20.0,,,,,,6.0,25.0,28.0,7.0,7.0,13.0,28.0
DB,Falcons,2016,17,339.0,5985.0,1073.0,5.6,30.0,13.0,359.0,410.0,621.0,4379.0,21.0,17.0,6.7,230.0,420.0,1606.0,13.0,3.8,95.0,100.0,969.0,34.0,174.0,34.5,17.2,Own 27.0,2:58,6.34,34.2,1.84,345.0,5562.0,996.0,5.6,23.0,8.0,335.0,370.0,561.0,3882.0,19.0,15.0,6.7,197.0,416.0,1680.0,20.0,4.0,107.0,95.0,728.0,31.0,172.0,34.3,13.4,Own 27.1,2:39,5.9,32.3,1.94,21.0,7.0,,,26.0,28.0,3.0,,8.0,6.0,23.0,24.0,10.0,,16.0,19.0,12.0,25.0,,,,,,17.0,2.0,18.0,1.0,2.0,4.0,18.0,14.0,16.0,,,16.0,22.0,24.0,,15.0,18.0,3.0,10.0,22.0,,15.0,14.0,31.0,15.0,,,,,,17.0,9.0,11.0,19.0,29.0,27.0,17.0
 C,Colts,2016,18,333.0,5142.0,1052.0,4.9,30.0,11.0,311.0,355.0,619.0,3704.0,26.0,19.0,5.6,195.0,396.0,1438.0,6.0,3.6,77.0,108.0,931.0,39.0,194.0,29.4,14.4,Own 26.8,2:29,5.56,26.5,1.54,408.0,6066.0,1072.0,5.7,25.0,8.0,331.0,354.0,585.0,4114.0,29.0,17.0,6.6,210.0,452.0,1952.0,14.0,4.3,89.0,133.0,1168.0,32.0,194.0,36.6,12.4,Own 27.4,2:34,5.7,31.1,1.98,24.0,28.0,,,26.0,22.0,22.0,,9.0,22.0,16.0,28.0,32.0,,21.0,29.0,28.0,31.0,,,,,,26.0,8.0,21.0,22.0,22.0,30.0,26.0,25.0,26.0,,,12.0,22.0,23.0,,20.0,24.0,19.0,6.0,20.0,,23.0,25.0,25.0,23.0,,,,,,12.0,12.0,17.0,12.0,15.0,21.0,21.0
DE,Bills,2016,19,379.0,5775.0,1016.0,5.7,19.0,10.0,297.0,295.0,465.0,3343.0,23.0,9.0,6.6,155.0,509.0,2432.0,19.0,4.8,122.0,143.0,1249.0,20.0,186.0,34.9,8.6,Own 26.7,2:42,5.61,31.0,1.95,359.0,5702.0,1017.0,5.6,25.0,8.0,322.0,347.0,602.0,3972.0,30.0,17.0,6.4,198.0,394.0,1730.0,10.0,4.4,87.0,113.0,906.0,37.0,191.0,32.5,11.0,Own 28.1,2:24,5.5,29.7,1.81,12.0,13.0,,,8.0,18.0,28.0,,31.0,28.0,20.0,5.0,12.0,,2.0,1.0,1.0,1.0,,,,,,15.0,29.0,22.0,14.0,19.0,13.0,11.0,15.0,19.0,,,12.0,22.0,20.0,,24.0,19.0,22.0,6.0,14.0,,9.0,16.0,10.0,25.0,,,,,,20.0,22.0,21.0,3.0,5.0,12.0,14.0
LB,Jets,2016,20,387.0,5925.0,1074.0,5.5,24.0,8.0,329.0,362.0,604.0,4057.0,33.0,16.0,6.5,210.0,448.0,1868.0,11.0,4.2,99.0,96.0,787.0,20.0,199.0,35.7,11.6,Own 29.2,2:31,5.56,29.6,1.95,314.0,5098.0,1013.0,5.0,30.0,12.0,271.0,343.0,601.0,3763.0,25.0,18.0,5.9,185.0,373.0,1335.0,4.0,3.6,62.0,90.0,767.0,24.0,194.0,28.4,14.4,Own 27.8,2:25,5.4,26.2,1.45,11.0,10.0,,,17.0,7.0,14.0,,15.0,13.0,8.0,23.0,15.0,,10.0,10.0,16.0,14.0,,,,,,14.0,15.0,8.0,18.0,21.0,20.0,10.0,9.0,4.0,,,3.0,9.0,1.0,,23.0,13.0,15.0,5.0,7.0,,4.0,2.0,1.0,3.0,,,,,,28.0,6.0,19.0,5.0,3.0,3.0,4.0
WR,Texans,2016,21,339.0,5564.0,1127.0,4.9,20.0,8.0,335.0,358.0,619.0,3833.0,29.0,12.0,5.9,210.0,472.0,1731.0,7.0,3.7,90.0,107.0,910.0,35.0,204.0,28.9,9.8,Own 25.5,2:25,5.66,27.3,1.57,313.0,4963.0,986.0,5.0,25.0,11.0,281.0,326.0,553.0,3366.0,24.0,14.0,5.6,173.0,388.0,1597.0,10.0,4.1,79.0,116.0,991.0,29.0,198.0,27.3,11.1,Own 29.3,2:22,5.1,25.0,1.51,21.0,19.0,,,11.0,7.0,10.0,,9.0,18.0,15.0,11.0,26.0,,5.0,15.0,24.0,28.0,,,,,,28.0,22.0,29.0,26.0,16.0,28.0,25.0,7.0,3.0,,,12.0,11.0,3.0,,14.0,3.0,11.0,13.0,3.0,,8.0,10.0,10.0,17.0,,,,,,30.0,21.0,29.0,2.0,1.0,2.0,6.0
WR,Redskins,2016,22,388.0,5661.0,1011.0,5.6,22.0,11.0,317.0,386.0,555.0,4095.0,30.0,11.0,7.0,208.0,429.0,1566.0,9.0,3.7,81.0,105.0,828.0,28.0,180.0,36.1,11.1,Own 27.0,2:49,5.78,31.5,1.95,379.0,6090.0,1010.0,6.0,27.0,16.0,329.0,354.0,566.0,4128.0,30.0,11.0,6.8,202.0,406.0,1962.0,10.0,4.8,103.0,112.0,955.0,24.0,181.0,35.4,14.9,Own 27.3,2:31,5.7,33.6,1.97,10.0,17.0,,,15.0,22.0,17.0,,20.0,11.0,13.0,9.0,6.0,,14.0,20.0,20.0,30.0,,,,,,12.0,18.0,18.0,6.0,13.0,9.0,12.0,17.0,28.0,,,8.0,1.0,22.0,,17.0,25.0,22.0,21.0,26.0,,11.0,26.0,10.0,31.0,,,,,,16.0,5.0,14.0,7.0,17.0,28.0,19.0
WR,Vikings,2016,23,365.0,5139.0,973.0,5.3,17.0,8.0,297.0,294.0,454.0,2928.0,14.0,9.0,5.9,153.0,474.0,2211.0,18.0,4.7,113.0,88.0,797.0,31.0,172.0,38.4,9.3,Own 30.2,2:50,5.88,29.9,1.9,302.0,5510.0,1015.0,5.4,22.0,9.0,318.0,359.0,561.0,3762.0,24.0,13.0,6.2,189.0,411.0,1748.0,7.0,4.3,94.0,109.0,875.0,35.0,177.0,33.3,11.9,Own 25.5,2:42,5.9,31.1,1.7,16.0,29.0,,,4.0,7.0,28.0,,32.0,31.0,31.0,5.0,25.0,,4.0,4.0,4.0,4.0,,,,,,7.0,26.0,3.0,5.0,10.0,18.0,14.0,5.0,13.0,,,19.0,16.0,16.0,,15.0,12.0,11.0,17.0,12.0,,14.0,17.0,3.0,21.0,,,,,,19.0,15.0,5.0,25.0,28.0,20.0,12.0
DB,Bengals,2016,24,419.0,5728.0,1004.0,5.7,17.0,8.0,324.0,334.0,505.0,3923.0,31.0,9.0,7.3,191.0,467.0,1805.0,18.0,3.9,99.0,111.0,917.0,34.0,182.0,39.6,9.3,Own 30.1,2:45,5.67,31.2,2.26,279.0,5453.0,1032.0,5.3,28.0,7.0,307.0,415.0,646.0,3976.0,18.0,21.0,5.8,202.0,344.0,1477.0,8.0,4.3,74.0,116.0,1063.0,31.0,180.0,28.9,15.0,Own 24.7,2:39,5.9,30.3,1.44,7.0,15.0,,,4.0,7.0,15.0,,26.0,15.0,11.0,5.0,3.0,,7.0,13.0,4.0,23.0,,,,,,6.0,25.0,4.0,10.0,15.0,11.0,5.0,2.0,11.0,,,6.0,27.0,10.0,,31.0,20.0,2.0,3.0,6.0,,1.0,7.0,6.0,22.0,,,,,,27.0,4.0,4.0,19.0,27.0,14.0,3.0
DB,Steelers,2016,25,423.0,6327.0,1011.0,6.3,28.0,7.0,331.0,391.0,590.0,4603.0,26.0,21.0,7.4,207.0,388.0,1724.0,16.0,4.4,91.0,94.0,868.0,33.0,190.0,40.5,13.7,Own 28.2,2:30,5.54,33.3,2.1,319.0,5809.0,1055.0,5.5,30.0,13.0,327.0,402.0,625.0,4350.0,29.0,17.0,6.5,231.0,382.0,1459.0,6.0,3.8,71.0,121.0,1199.0,25.0,189.0,32.3,14.3,Own 28.3,2:37,5.7,30.5,1.71,4.0,3.0,,,22.0,2.0,12.0,,16.0,3.0,16.0,29.0,2.0,,24.0,16.0,6.0,8.0,,,,,,5.0,11.0,10.0,21.0,23.0,7.0,7.0,11.0,21.0,,,3.0,4.0,21.0,,27.0,30.0,19.0,6.0,17.0,,6.0,5.0,2.0,6.0,,,,,,21.0,7.0,22.0,15.0,18.0,17.0,13.0
QB,Broncos,2016,26,355.0,5688.0,1056.0,5.4,31.0,8.0,314.0,368.0,606.0,3970.0,19.0,23.0,6.2,201.0,411.0,1718.0,13.0,4.2,85.0,115.0,1063.0,28.0,199.0,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58,296.0,4530.0,1033.0,4.4,27.0,13.0,289.0,344.0,573.0,3193.0,19.0,14.0,5.1,162.0,408.0,1337.0,10.0,3.3,81.0,104.0,773.0,46.0,201.0,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38,19.0,16.0,,,29.0,7.0,19.0,,13.0,14.0,28.0,32.0,21.0,,17.0,17.0,12.0,13.0,,,,,,24.0,6.0,27.0,24.0,25.0,23.0,24.0,4.0,1.0,,,8.0,4.0,5.0,,18.0,1.0,3.0,13.0,1.0,,13.0,3.0,10.0,1.0,,,,,,31.0,14.0,30.0,6.0,2.0,1.0,1.0
DT,Packers,2016,27,368.0,5353.0,1056.0,5.1,17.0,9.0,317.0,348.0,573.0,3503.0,31.0,8.0,5.7,173.0,436.0,1850.0,8.0,4.2,100.0,105.0,906.0,44.0,192.0,33.3,8.9,Own 28.1,2:31,5.65,27.8,1.83,323.0,5547.0,1014.0,5.5,22.0,6.0,300.0,321.0,551.0,3642.0,20.0,16.0,6.1,183.0,420.0,1905.0,13.0,4.5,96.0,120.0,1107.0,21.0,182.0,31.3,11.5,Own 26.5,2:37,5.7,30.4,1.66,15.0,23.0,,,4.0,15.0,17.0,,18.0,25.0,11.0,3.0,31.0,,12.0,12.0,21.0,11.0,,,,,,20.0,27.0,11.0,18.0,18.0,26.0,19.0,12.0,15.0,,,19.0,29.0,8.0,,13.0,6.0,6.0,9.0,11.0,,18.0,21.0,23.0,29.0,,,,,,24.0,19.0,9.0,15.0,16.0,15.0,11.0
 G,49ers,2016,28,238.0,4860.0,969.0,5.0,17.0,5.0,261.0,322.0,526.0,3316.0,16.0,12.0,5.7,154.0,390.0,1544.0,7.0,4.0,83.0,113.0,823.0,24.0,182.0,25.8,8.2,Own 23.7,2:21,5.47,26.6,1.28,387.0,6199.0,1081.0,5.7,12.0,3.0,356.0,375.0,549.0,4179.0,21.0,9.0,7.2,199.0,504.0,2020.0,20.0,4.0,128.0,112.0,920.0,29.0,182.0,37.9,6.6,Own 28.9,3:00,6.1,34.0,2.04,32.0,31.0,,,4.0,1.0,31.0,,24.0,29.0,29.0,11.0,28.0,,23.0,21.0,24.0,20.0,,,,,,29.0,30.0,31.0,28.0,26.0,29.0,32.0,18.0,29.0,,,31.0,30.0,28.0,,12.0,27.0,7.0,26.0,30.0,,32.0,29.0,31.0,12.0,,,,,,8.0,31.0,25.0,32.0,32.0,30.0,25.0
DT,Cardinals,2016,29,489.0,6533.0,1041.0,6.3,24.0,11.0,373.0,353.0,562.0,4616.0,35.0,13.0,7.8,237.0,452.0,1917.0,16.0,4.2,92.0,94.0,758.0,44.0,186.0,42.5,11.8,Own 27.8,2:45,5.77,35.1,2.37,313.0,5147.0,982.0,5.2,33.0,14.0,284.0,343.0,573.0,3687.0,24.0,19.0,6.1,177.0,373.0,1460.0,9.0,3.9,79.0,130.0,1202.0,28.0,186.0,31.7,16.7,Own 27.2,2:24,5.4,27.6,1.66,2.0,1.0,,,17.0,22.0,2.0,,19.0,2.0,3.0,17.0,1.0,,9.0,8.0,6.0,12.0,,,,,,3.0,14.0,14.0,10.0,14.0,2.0,2.0,7.0,5.0,,,2.0,3.0,4.0,,18.0,8.0,11.0,4.0,9.0,,4.0,6.0,8.0,9.0,,,,,,23.0,2.0,13.0,3.0,4.0,6.0,10.0
DT,Panthers,2016,30,500.0,5871.0,1060.0,5.5,19.0,9.0,357.0,300.0,501.0,3589.0,35.0,10.0,6.7,197.0,526.0,2282.0,19.0,4.3,136.0,103.0,887.0,24.0,198.0,42.9,9.6,Own 30.7,2:35,5.54,29.9,2.4,308.0,5167.0,1058.0,4.9,39.0,15.0,298.0,390.0,650.0,3752.0,21.0,24.0,5.4,198.0,364.0,1415.0,11.0,3.9,74.0,99.0,822.0,26.0,196.0,26.5,19.4,Own 27.1,2:20,5.5,26.2,1.45,1.0,11.0,,,8.0,15.0,4.0,,27.0,24.0,3.0,8.0,9.0,,1.0,2.0,1.0,10.0,,,,,,2.0,24.0,2.0,17.0,24.0,17.0,1.0,6.0,6.0,,,1.0,2.0,6.0,,32.0,11.0,7.0,1.0,2.0,,3.0,4.0,17.0,7.0,,,,,,32.0,1.0,11.0,1.0,8.0,4.0,5.0
 G,Seahawks,2016,31,423.0,6058.0,1035.0,5.9,16.0,8.0,335.0,333.0,489.0,3790.0,34.0,8.0,7.1,190.0,500.0,2268.0,10.0,4.5,128.0,117.0,1007.0,17.0,174.0,42.0,8.6,Own 29.2,2:58,6.13,34.6,2.27,277.0,4668.0,947.0,4.9,23.0,9.0,273.0,333.0,548.0,3364.0,14.0,14.0,5.8,175.0,362.0,1304.0,10.0,3.6,71.0,94.0,795.0,27.0,174.0,29.3,13.2,Own 23.8,2:39,5.6,26.9,1.43,4.0,4.0,,,3.0,7.0,10.0,,28.0,20.0,6.0,3.0,5.0,,3.0,3.0,18.0,7.0,,,,,,4.0,28.0,8.0,1.0,4.0,3.0,4.0,1.0,2.0,,,16.0,16.0,2.0,,11.0,2.0,1.0,13.0,5.0,,2.0,1.0,10.0,4.0,,,,,,25.0,10.0,1.0,19.0,11.0,5.0,2.0
QB,Buccaneers,2015,1,277.0,4672.0,936.0,5.0,33.0,13.0,263.0,301.0,531.0,3297.0,21.0,20.0,5.7,162.0,353.0,1375.0,7.0,3.9,72.0,118.0,939.0,29.0,180.0,26.7,17.2,Own 26.6,2:26,5.33,25.8,1.42,410.0,5903.0,1067.0,5.5,25.0,11.0,353.0,387.0,563.0,4084.0,28.0,14.0,6.8,223.0,468.0,1819.0,15.0,3.9,103.0,106.0,935.0,27.0,185.0,38.9,13.0,Own 31.2,2:52,6.0,31.8,2.1,29.0,30.0,,,31.0,25.0,30.0,,21.0,25.0,20.0,31.0,29.0,,31.0,29.0,27.0,24.0,,,,,,29.0,2.0,23.0,26.0,28.0,29.0,29.0,25.0,25.0,,,14.0,10.0,30.0,,21.0,28.0,22.0,14.0,26.0,,27.0,19.0,24.0,7.0,,,,,,7.0,14.0,30.0,31.0,29.0,28.0,26.0
QB,Titans,2015,2,254.0,4859.0,919.0,5.3,26.0,10.0,258.0,299.0,513.0,3412.0,20.0,16.0,6.1,159.0,356.0,1447.0,6.0,4.1,75.0,111.0,961.0,24.0,191.0,23.6,12.6,Own 25.8,2:18,4.93,25.3,1.25,438.0,5968.0,1099.0,5.4,16.0,4.0,357.0,347.0,545.0,3773.0,28.0,12.0,6.5,211.0,515.0,2195.0,17.0,4.3,119.0,93.0,731.0,27.0,191.0,40.8,8.4,Own 29.9,2:43,6.0,31.2,2.17,30.0,29.0,,,21.0,16.0,31.0,,24.0,22.0,22.0,19.0,20.0,,29.0,26.0,29.0,18.0,,,,,,30.0,14.0,27.0,29.0,32.0,30.0,30.0,29.0,27.0,,,29.0,32.0,31.0,,13.0,15.0,22.0,21.0,19.0,,32.0,31.0,28.0,19.0,,,,,,4.0,29.0,28.0,26.0,26.0,24.0,29.0
LB,Jaguars,2015,3,249.0,4634.0,988.0,4.7,26.0,8.0,271.0,325.0,557.0,3001.0,15.0,18.0,4.8,154.0,360.0,1633.0,9.0,4.5,86.0,73.0,573.0,31.0,195.0,22.6,12.8,Own 25.7,2:14,5.2,23.7,1.17,412.0,5932.0,1085.0,5.5,20.0,14.0,330.0,355.0,541.0,3899.0,24.0,6.0,6.7,200.0,499.0,2033.0,15.0,4.1,107.0,115.0,886.0,23.0,193.0,36.3,9.8,Own 29.8,2:43,5.8,30.7,1.9,32.0,31.0,,,21.0,9.0,29.0,,16.0,31.0,31.0,26.0,32.0,,28.0,21.0,24.0,6.0,,,,,,32.0,12.0,28.0,31.0,30.0,31.0,32.0,26.0,26.0,,,24.0,2.0,24.0,,10.0,22.0,12.0,30.0,21.0,,30.0,27.0,24.0,12.0,,,,,,11.0,26.0,27.0,26.0,19.0,19.0,22.0
WR,Raiders,2015,4,253.0,4515.0,994.0,4.5,29.0,13.0,248.0,365.0,629.0,3275.0,22.0,16.0,5.0,173.0,337.0,1240.0,4.0,3.7,56.0,116.0,939.0,19.0,198.0,22.7,13.6,Own 24.2,2:17,5.13,22.6,1.21,452.0,5721.0,1041.0,5.5,14.0,5.0,320.0,343.0,538.0,3810.0,29.0,9.0,6.8,190.0,481.0,1911.0,17.0,4.0,95.0,116.0,941.0,35.0,197.0,39.6,6.6,Own 32.9,2:34,5.5,29.1,2.12,31.0,32.0,,,26.0,25.0,32.0,,4.0,26.0,17.0,19.0,31.0,,32.0,32.0,32.0,27.0,,,,,,31.0,8.0,32.0,30.0,31.0,32.0,31.0,32.0,21.0,,,30.0,30.0,18.0,,7.0,16.0,25.0,27.0,25.0,,29.0,22.0,28.0,8.0,,,,,,6.0,31.0,32.0,10.0,6.0,9.0,27.0
 G,Redskins,2015,5,301.0,5738.0,1006.0,5.7,31.0,13.0,318.0,364.0,547.0,4047.0,18.0,18.0,6.7,186.0,401.0,1691.0,15.0,4.2,88.0,120.0,1130.0,44.0,192.0,29.7,15.6,Own 25.1,2:34,5.38,29.9,1.58,438.0,5712.0,976.0,5.9,19.0,12.0,307.0,345.0,519.0,3990.0,35.0,7.0,7.2,195.0,421.0,1722.0,11.0,4.1,77.0,144.0,1164.0,35.0,182.0,37.4,8.8,Own 30.0,2:36,5.5,31.2,2.13,26.0,13.0,,,29.0,25.0,17.0,,18.0,11.0,27.0,26.0,10.0,,21.0,19.0,9.0,14.0,,,,,,25.0,5.0,31.0,19.0,26.0,17.0,24.0,29.0,20.0,,,25.0,6.0,6.0,,2.0,24.0,32.0,28.0,30.0,,14.0,12.0,14.0,13.0,,,,,,8.0,28.0,29.0,15.0,7.0,23.0,28.0
DE,Jets,2015,6,283.0,5226.0,1052.0,5.0,24.0,9.0,289.0,287.0,498.0,2946.0,16.0,15.0,5.4,154.0,507.0,2280.0,11.0,4.5,112.0,109.0,932.0,23.0,186.0,31.7,11.8,Own 27.8,2:40,5.87,28.0,1.53,401.0,5235.0,976.0,5.4,13.0,7.0,300.0,345.0,538.0,3746.0,31.0,6.0,6.4,194.0,393.0,1489.0,10.0,3.8,74.0,91.0,780.0,32.0,183.0,37.2,5.5,Own 28.5,2:34,5.5,28.4,2.03,28.0,22.0,,,19.0,13.0,25.0,,27.0,32.0,30.0,16.0,30.0,,4.0,3.0,17.0,8.0,,,,,,22.0,16.0,16.0,13.0,11.0,25.0,26.0,24.0,6.0,,,32.0,23.0,2.0,,7.0,14.0,30.0,30.0,18.0,,7.0,5.0,11.0,6.0,,,,,,9.0,32.0,23.0,10.0,8.0,8.0,24.0
WR,Bears,2015,7,319.0,5233.0,1005.0,5.2,29.0,10.0,322.0,396.0,609.0,3792.0,30.0,19.0,5.8,194.0,355.0,1441.0,8.0,4.1,91.0,113.0,997.0,37.0,180.0,27.8,16.1,Own 25.9,2:41,5.67,29.0,1.68,442.0,6033.0,1008.0,6.0,24.0,10.0,325.0,366.0,548.0,4230.0,34.0,14.0,7.2,227.0,421.0,1803.0,12.0,4.3,78.0,106.0,978.0,20.0,177.0,44.6,12.4,Own 32.8,2:43,5.9,34.0,2.38,23.0,21.0,,,26.0,16.0,16.0,,7.0,15.0,9.0,30.0,25.0,,30.0,27.0,26.0,19.0,,,,,,28.0,4.0,26.0,12.0,19.0,21.0,20.0,31.0,30.0,,,20.0,16.0,20.0,,16.0,30.0,31.0,14.0,31.0,,14.0,17.0,17.0,22.0,,,,,,1.0,19.0,31.0,26.0,24.0,30.0,32.0
LB,Falcons,2015,8,381.0,6051.0,1035.0,5.8,23.0,8.0,330.0,418.0,632.0,4553.0,28.0,15.0,6.9,233.0,372.0,1498.0,11.0,4.0,75.0,97.0,840.0,22.0,175.0,38.9,13.1,Own 26.5,2:42,6.1,34.6,2.06,417.0,6372.0,1038.0,6.1,28.0,12.0,358.0,359.0,566.0,4478.0,20.0,16.0,7.6,224.0,450.0,1894.0,21.0,4.2,108.0,91.0,744.0,26.0,169.0,42.6,14.2,Own 27.9,2:54,6.4,37.6,2.25,12.0,8.0,,,13.0,9.0,13.0,,3.0,5.0,11.0,16.0,7.0,,27.0,24.0,17.0,21.0,,,,,,10.0,9.0,24.0,11.0,6.0,4.0,10.0,27.0,32.0,,,6.0,6.0,32.0,,23.0,32.0,5.0,12.0,32.0,,24.0,21.0,32.0,16.0,,,,,,3.0,6.0,20.0,32.0,32.0,32.0,30.0
