Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
 T,Jets,2020,11,276.0,4368.0,956.0,4.6,25.0,9.0,253.0,323.0,521.0,3111.0,19.0,16.0,5.4,162.0,383.0,1257.0,6.0,3.3,61.0,115.0,1105.0,30.0,189.0,23.3,11.6,Own 27.0,2:27,5.21,22.9,1.23,359.0,5170.0,1037.0,5.0,21.0,9.0,302.0,363.0,585.0,3779.0,25.0,12.0,6.1,187.0,417.0,1391.0,12.0,3.3,75.0,107.0,902.0,40.0,193.0,33.7,9.8,Own 31.4,2:35,5.5,26.7,1.78,31.0,32.0,,,23.0,15.0,31.0,,22.0,29.0,27.0,23.0,29.0,,26.0,31.0,31.0,32.0,,,,,,32.0,16.0,28.0,28.0,30.0,32.0,32.0,16.0,7.0,,,17.0,14.0,7.0,,24.0,17.0,17.0,17.0,13.0,,18.0,2.0,9.0,2.0,,,,,,22.0,20.0,30.0,8.0,4.0,5.0,11.0
WR,Raiders,2020,12,313.0,5819.0,989.0,5.9,17.0,9.0,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,194.0,437.0,1893.0,13.0,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419.0,5677.0,963.0,5.9,15.0,6.0,344.0,337.0,526.0,4107.0,33.0,9.0,7.4,201.0,405.0,1570.0,15.0,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24.0,11.0,,,7.0,15.0,18.0,,21.0,9.0,19.0,5.0,6.0,,11.0,13.0,18.0,17.0,,,,,,22.0,25.0,27.0,3.0,7.0,5.0,19.0,24.0,19.0,,,31.0,27.0,23.0,,7.0,25.0,27.0,29.0,30.0,,12.0,8.0,21.0,5.0,,,,,,6.0,30.0,2.0,23.0,22.0,27.0,31.0
 T,Buccaneers,2020,13,458.0,6366.0,1086.0,5.9,41.0,11.0,353.0,382.0,630.0,4845.0,33.0,30.0,7.2,244.0,409.0,1521.0,15.0,3.7,81.0,133.0,1111.0,28.0,198.0,37.9,20.2,Own 28.1,2:30,5.66,32.1,2.11,449.0,5503.0,1073.0,5.1,28.0,16.0,331.0,408.0,664.0,4322.0,30.0,12.0,6.1,222.0,362.0,1181.0,11.0,3.3,70.0,111.0,971.0,39.0,198.0,39.4,13.6,Own 31.4,2:22,5.6,27.8,2.01,3.0,3.0,,,32.0,22.0,5.0,,4.0,1.0,3.0,32.0,4.0,,14.0,24.0,15.0,28.0,,,,,,10.0,1.0,21.0,25.0,25.0,11.0,9.0,29.0,15.0,,,5.0,2.0,19.0,,32.0,30.0,25.0,17.0,12.0,,4.0,1.0,7.0,1.0,,,,,,10.0,9.0,29.0,3.0,7.0,6.0,17.0
DT,49ers,2020,14,479.0,6097.0,1012.0,6.0,23.0,10.0,336.0,331.0,478.0,3792.0,28.0,13.0,7.4,195.0,498.0,2305.0,23.0,4.6,110.0,105.0,939.0,31.0,183.0,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44,310.0,4509.0,968.0,4.7,27.0,15.0,285.0,318.0,519.0,2707.0,23.0,12.0,4.8,150.0,401.0,1802.0,11.0,4.5,105.0,116.0,957.0,30.0,177.0,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,2.0,4.0,,,19.0,19.0,14.0,,29.0,13.0,10.0,18.0,3.0,,2.0,2.0,1.0,9.0,,,,,,5.0,12.0,4.0,11.0,22.0,9.0,4.0,8.0,2.0,,,6.0,4.0,3.0,,6.0,1.0,13.0,17.0,1.0,,9.0,17.0,7.0,23.0,,,,,,30.0,6.0,16.0,9.0,6.0,2.0,4.0
WR,Broncos,2020,15,282.0,4777.0,954.0,5.0,16.0,6.0,279.0,312.0,504.0,3115.0,16.0,10.0,5.7,162.0,409.0,1662.0,11.0,4.1,77.0,110.0,912.0,40.0,173.0,32.4,9.2,Own 27.6,2:43,5.71,27.6,1.6,316.0,5392.0,1003.0,5.4,17.0,7.0,305.0,348.0,537.0,3609.0,19.0,10.0,6.3,175.0,426.0,1783.0,9.0,4.2,96.0,121.0,1041.0,34.0,171.0,36.3,8.8,Own 28.7,2:52,6.1,31.5,1.74,28.0,28.0,,,6.0,2.0,29.0,,27.0,28.0,32.0,12.0,24.0,,14.0,20.0,22.0,21.0,,,,,,21.0,26.0,26.0,13.0,20.0,27.0,27.0,10.0,12.0,,,25.0,24.0,9.0,,10.0,11.0,5.0,25.0,15.0,,20.0,16.0,5.0,13.0,,,,,,14.0,31.0,16.0,27.0,26.0,19.0,9.0
DB,Falcons,2020,16,381.0,6075.0,1096.0,5.5,25.0,10.0,383.0,459.0,684.0,4714.0,29.0,15.0,6.4,258.0,362.0,1361.0,10.0,3.8,84.0,119.0,956.0,41.0,174.0,40.8,13.2,Own 28.7,2:51,6.53,34.9,2.12,399.0,5693.0,985.0,5.8,20.0,8.0,330.0,351.0,536.0,3918.0,28.0,12.0,6.9,192.0,421.0,1775.0,13.0,4.2,108.0,127.0,1080.0,30.0,167.0,42.5,9.0,Own 28.8,2:47,6.1,34.1,2.26,13.0,5.0,,,23.0,19.0,2.0,,1.0,3.0,8.0,21.0,14.0,,29.0,30.0,24.0,26.0,,,,,,7.0,8.0,13.0,7.0,2.0,6.0,8.0,23.0,20.0,,,19.0,21.0,18.0,,8.0,22.0,23.0,17.0,26.0,,19.0,15.0,14.0,16.0,,,,,,2.0,26.0,18.0,21.0,25.0,25.0,27.0
WR,Cowboys,2020,17,434.0,6904.0,1069.0,6.5,18.0,7.0,379.0,388.0,597.0,4751.0,30.0,11.0,7.7,229.0,449.0,2153.0,18.0,4.8,120.0,109.0,1008.0,30.0,175.0,44.6,10.3,Own 26.3,2:42,6.34,39.4,2.43,321.0,5232.0,1015.0,5.2,17.0,10.0,327.0,370.0,569.0,3576.0,21.0,7.0,5.9,188.0,407.0,1656.0,14.0,4.1,101.0,102.0,855.0,38.0,173.0,35.3,9.8,Own 30.2,2:49,6.1,30.2,1.87,6.0,1.0,,,9.0,5.0,3.0,,10.0,2.0,5.0,14.0,1.0,,8.0,5.0,7.0,5.0,,,,,,4.0,21.0,29.0,15.0,4.0,1.0,5.0,11.0,9.0,,,25.0,10.0,16.0,,20.0,10.0,8.0,30.0,8.0,,13.0,11.0,17.0,8.0,,,,,,18.0,21.0,26.0,23.0,24.0,11.0,14.0
 T,Dolphins,2020,18,306.0,4960.0,1022.0,4.9,26.0,8.0,315.0,371.0,615.0,3804.0,22.0,18.0,5.7,210.0,349.0,1156.0,10.0,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494.0,6364.0,1053.0,6.0,16.0,3.0,361.0,344.0,545.0,4198.0,39.0,13.0,7.4,214.0,485.0,2166.0,15.0,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25.0,27.0,,,25.0,11.0,18.0,,7.0,12.0,19.0,27.0,26.0,,32.0,32.0,24.0,31.0,,,,,,26.0,9.0,23.0,22.0,19.0,29.0,25.0,32.0,30.0,,,28.0,31.0,30.0,,14.0,26.0,32.0,12.0,32.0,,30.0,27.0,21.0,22.0,,,,,,1.0,28.0,27.0,20.0,20.0,26.0,32.0
DB,Raiders,2020,19,313.0,5819.0,989.0,5.9,17.0,9.0,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,194.0,437.0,1893.0,13.0,4.3,104.0,128.0,1138.0,17.0,165.0,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419.0,5677.0,963.0,5.9,15.0,6.0,344.0,337.0,526.0,4107.0,33.0,9.0,7.4,201.0,405.0,1570.0,15.0,3.9,91.0,91.0,763.0,52.0,166.0,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24.0,11.0,,,7.0,15.0,18.0,,21.0,9.0,19.0,5.0,6.0,,11.0,13.0,18.0,17.0,,,,,,22.0,25.0,27.0,3.0,7.0,5.0,19.0,24.0,19.0,,,31.0,27.0,23.0,,7.0,25.0,27.0,29.0,30.0,,12.0,8.0,21.0,5.0,,,,,,6.0,30.0,2.0,23.0,22.0,27.0,31.0
DE,Jaguars,2020,20,300.0,5468.0,1020.0,5.4,20.0,12.0,298.0,364.0,589.0,3760.0,24.0,8.0,6.0,183.0,389.0,1708.0,3.0,4.4,85.0,132.0,1165.0,30.0,177.0,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63,397.0,6007.0,999.0,6.0,19.0,9.0,340.0,327.0,517.0,3778.0,22.0,10.0,6.7,193.0,435.0,2229.0,23.0,5.1,114.0,102.0,883.0,33.0,180.0,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,26.0,20.0,,,13.0,26.0,27.0,,12.0,16.0,17.0,5.0,19.0,,23.0,17.0,32.0,15.0,,,,,,19.0,22.0,32.0,13.0,14.0,17.0,26.0,21.0,24.0,,,22.0,14.0,21.0,,5.0,16.0,12.0,25.0,23.0,,22.0,28.0,31.0,31.0,,,,,,13.0,24.0,21.0,9.0,10.0,22.0,23.0
