ID,Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
10, T,Jets,2020,11,276.0,4.6,253.0,323.0,521.0,3111.0,19.0,16.0,5.4,383.0,1257.0,6.0,3.3,61.0,23.3,22.9,1.23,359.0,5.0,21.0,302.0,363.0,3779.0,25.0,12.0,6.1,417.0,1391.0,12.0,3.3,75.0,33.7,26.7,1.78,31.0,32.0,31.0,22.0,29.0,27.0,23.0,29.0,26.0,31.0,31.0,32.0,32.0,32.0,32.0,16.0,7.0,17.0,7.0,17.0,17.0,17.0,13.0,18.0,2.0,9.0,2.0,22.0,5.0,11.0
11,WR,Raiders,2020,12,313.0,5.9,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,437.0,1893.0,13.0,4.3,104.0,32.7,35.1,1.83,419.0,5.9,15.0,344.0,337.0,4107.0,33.0,9.0,7.4,405.0,1570.0,15.0,3.9,91.0,41.0,34.2,2.39,24.0,11.0,18.0,21.0,9.0,19.0,5.0,6.0,11.0,13.0,18.0,17.0,22.0,5.0,19.0,24.0,19.0,31.0,23.0,25.0,27.0,29.0,30.0,12.0,8.0,21.0,5.0,6.0,27.0,31.0
12, T,Buccaneers,2020,13,458.0,5.9,353.0,382.0,630.0,4845.0,33.0,30.0,7.2,409.0,1521.0,15.0,3.7,81.0,37.9,32.1,2.11,449.0,5.1,28.0,331.0,408.0,4322.0,30.0,12.0,6.1,362.0,1181.0,11.0,3.3,70.0,39.4,27.8,2.01,3.0,3.0,5.0,4.0,1.0,3.0,32.0,4.0,14.0,24.0,15.0,28.0,10.0,11.0,9.0,29.0,15.0,5.0,19.0,30.0,25.0,17.0,12.0,4.0,1.0,7.0,1.0,10.0,6.0,17.0
13,DT,49ers,2020,14,479.0,6.0,336.0,331.0,478.0,3792.0,28.0,13.0,7.4,498.0,2305.0,23.0,4.6,110.0,44.3,33.1,2.44,310.0,4.7,27.0,285.0,318.0,2707.0,23.0,12.0,4.8,401.0,1802.0,11.0,4.5,105.0,28.8,25.4,1.63,2.0,4.0,14.0,29.0,13.0,10.0,18.0,3.0,2.0,2.0,1.0,9.0,5.0,9.0,4.0,8.0,2.0,6.0,3.0,1.0,13.0,17.0,1.0,9.0,17.0,7.0,23.0,30.0,2.0,4.0
14,WR,Broncos,2020,15,282.0,5.0,279.0,312.0,504.0,3115.0,16.0,10.0,5.7,409.0,1662.0,11.0,4.1,77.0,32.4,27.6,1.6,316.0,5.4,17.0,305.0,348.0,3609.0,19.0,10.0,6.3,426.0,1783.0,9.0,4.2,96.0,36.3,31.5,1.74,28.0,28.0,29.0,27.0,28.0,32.0,12.0,24.0,14.0,20.0,22.0,21.0,21.0,27.0,27.0,10.0,12.0,25.0,9.0,11.0,5.0,25.0,15.0,20.0,16.0,5.0,13.0,14.0,19.0,9.0
15,DB,Falcons,2020,16,381.0,5.5,383.0,459.0,684.0,4714.0,29.0,15.0,6.4,362.0,1361.0,10.0,3.8,84.0,40.8,34.9,2.12,399.0,5.8,20.0,330.0,351.0,3918.0,28.0,12.0,6.9,421.0,1775.0,13.0,4.2,108.0,42.5,34.1,2.26,13.0,5.0,2.0,1.0,3.0,8.0,21.0,14.0,29.0,30.0,24.0,26.0,7.0,6.0,8.0,23.0,20.0,19.0,18.0,22.0,23.0,17.0,26.0,19.0,15.0,14.0,16.0,2.0,25.0,27.0
16,WR,Cowboys,2020,17,434.0,6.5,379.0,388.0,597.0,4751.0,30.0,11.0,7.7,449.0,2153.0,18.0,4.8,120.0,44.6,39.4,2.43,321.0,5.2,17.0,327.0,370.0,3576.0,21.0,7.0,5.9,407.0,1656.0,14.0,4.1,101.0,35.3,30.2,1.87,6.0,1.0,3.0,10.0,2.0,5.0,14.0,1.0,8.0,5.0,7.0,5.0,4.0,1.0,5.0,11.0,9.0,25.0,16.0,10.0,8.0,30.0,8.0,13.0,11.0,17.0,8.0,18.0,11.0,14.0
17, T,Dolphins,2020,18,306.0,4.9,315.0,371.0,615.0,3804.0,22.0,18.0,5.7,349.0,1156.0,10.0,3.3,64.0,30.2,27.1,1.61,494.0,6.0,16.0,361.0,344.0,4198.0,39.0,13.0,7.4,485.0,2166.0,15.0,4.5,113.0,45.9,34.2,2.55,25.0,27.0,18.0,7.0,12.0,19.0,27.0,26.0,32.0,32.0,24.0,31.0,26.0,29.0,25.0,32.0,30.0,28.0,30.0,26.0,32.0,12.0,32.0,30.0,27.0,21.0,22.0,1.0,26.0,32.0
18,DB,Raiders,2020,19,313.0,5.9,315.0,367.0,523.0,3926.0,22.0,8.0,7.1,437.0,1893.0,13.0,4.3,104.0,32.7,35.1,1.83,419.0,5.9,15.0,344.0,337.0,4107.0,33.0,9.0,7.4,405.0,1570.0,15.0,3.9,91.0,41.0,34.2,2.39,24.0,11.0,18.0,21.0,9.0,19.0,5.0,6.0,11.0,13.0,18.0,17.0,22.0,5.0,19.0,24.0,19.0,31.0,23.0,25.0,27.0,29.0,30.0,12.0,8.0,21.0,5.0,6.0,27.0,31.0
19,DE,Jaguars,2020,20,300.0,5.4,298.0,364.0,589.0,3760.0,24.0,8.0,6.0,389.0,1708.0,3.0,4.4,85.0,33.9,30.9,1.63,397.0,6.0,19.0,340.0,327.0,3778.0,22.0,10.0,6.7,435.0,2229.0,23.0,5.1,114.0,37.2,33.2,2.12,26.0,20.0,27.0,12.0,16.0,17.0,5.0,19.0,23.0,17.0,32.0,15.0,19.0,17.0,26.0,21.0,24.0,22.0,21.0,16.0,12.0,25.0,23.0,22.0,28.0,31.0,31.0,13.0,22.0,23.0
