ID,Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
156,DT,Cardinals,2016,29,489.0,6.3,373.0,353.0,562.0,4616.0,35.0,13.0,7.8,452.0,1917.0,16.0,4.2,92.0,42.5,35.1,2.37,313.0,5.2,33.0,284.0,343.0,3687.0,24.0,19.0,6.1,373.0,1460.0,9.0,3.9,79.0,31.7,27.6,1.66,2.0,1.0,2.0,19.0,2.0,3.0,17.0,1.0,9.0,8.0,6.0,12.0,3.0,2.0,2.0,7.0,5.0,2.0,4.0,8.0,11.0,4.0,9.0,4.0,6.0,8.0,9.0,23.0,6.0,10.0
157,DT,Panthers,2016,30,500.0,5.5,357.0,300.0,501.0,3589.0,35.0,10.0,6.7,526.0,2282.0,19.0,4.3,136.0,42.9,29.9,2.4,308.0,4.9,39.0,298.0,390.0,3752.0,21.0,24.0,5.4,364.0,1415.0,11.0,3.9,74.0,26.5,26.2,1.45,1.0,11.0,4.0,27.0,24.0,3.0,8.0,9.0,1.0,2.0,1.0,10.0,2.0,17.0,1.0,6.0,6.0,1.0,6.0,11.0,7.0,1.0,2.0,3.0,4.0,17.0,7.0,32.0,4.0,5.0
158, G,Seahawks,2016,31,423.0,5.9,335.0,333.0,489.0,3790.0,34.0,8.0,7.1,500.0,2268.0,10.0,4.5,128.0,42.0,34.6,2.27,277.0,4.9,23.0,273.0,333.0,3364.0,14.0,14.0,5.8,362.0,1304.0,10.0,3.6,71.0,29.3,26.9,1.43,4.0,4.0,10.0,28.0,20.0,6.0,3.0,5.0,3.0,3.0,18.0,7.0,4.0,3.0,4.0,1.0,2.0,16.0,2.0,2.0,1.0,13.0,5.0,2.0,1.0,10.0,4.0,25.0,5.0,2.0
159,QB,Buccaneers,2015,1,277.0,5.0,263.0,301.0,531.0,3297.0,21.0,20.0,5.7,353.0,1375.0,7.0,3.9,72.0,26.7,25.8,1.42,410.0,5.5,25.0,353.0,387.0,4084.0,28.0,14.0,6.8,468.0,1819.0,15.0,3.9,103.0,38.9,31.8,2.1,29.0,30.0,30.0,21.0,25.0,20.0,31.0,29.0,31.0,29.0,27.0,24.0,29.0,29.0,29.0,25.0,25.0,14.0,30.0,28.0,22.0,14.0,26.0,27.0,19.0,24.0,7.0,7.0,28.0,26.0
160,QB,Titans,2015,2,254.0,5.3,258.0,299.0,513.0,3412.0,20.0,16.0,6.1,356.0,1447.0,6.0,4.1,75.0,23.6,25.3,1.25,438.0,5.4,16.0,357.0,347.0,3773.0,28.0,12.0,6.5,515.0,2195.0,17.0,4.3,119.0,40.8,31.2,2.17,30.0,29.0,31.0,24.0,22.0,22.0,19.0,20.0,29.0,26.0,29.0,18.0,30.0,30.0,30.0,29.0,27.0,29.0,31.0,15.0,22.0,21.0,19.0,32.0,31.0,28.0,19.0,4.0,24.0,29.0
161,LB,Jaguars,2015,3,249.0,4.7,271.0,325.0,557.0,3001.0,15.0,18.0,4.8,360.0,1633.0,9.0,4.5,86.0,22.6,23.7,1.17,412.0,5.5,20.0,330.0,355.0,3899.0,24.0,6.0,6.7,499.0,2033.0,15.0,4.1,107.0,36.3,30.7,1.9,32.0,31.0,29.0,16.0,31.0,31.0,26.0,32.0,28.0,21.0,24.0,6.0,32.0,31.0,32.0,26.0,26.0,24.0,24.0,22.0,12.0,30.0,21.0,30.0,27.0,24.0,12.0,11.0,19.0,22.0
162,WR,Raiders,2015,4,253.0,4.5,248.0,365.0,629.0,3275.0,22.0,16.0,5.0,337.0,1240.0,4.0,3.7,56.0,22.7,22.6,1.21,452.0,5.5,14.0,320.0,343.0,3810.0,29.0,9.0,6.8,481.0,1911.0,17.0,4.0,95.0,39.6,29.1,2.12,31.0,32.0,32.0,4.0,26.0,17.0,19.0,31.0,32.0,32.0,32.0,27.0,31.0,32.0,31.0,32.0,21.0,30.0,18.0,16.0,25.0,27.0,25.0,29.0,22.0,28.0,8.0,6.0,9.0,27.0
163, G,Redskins,2015,5,301.0,5.7,318.0,364.0,547.0,4047.0,18.0,18.0,6.7,401.0,1691.0,15.0,4.2,88.0,29.7,29.9,1.58,438.0,5.9,19.0,307.0,345.0,3990.0,35.0,7.0,7.2,421.0,1722.0,11.0,4.1,77.0,37.4,31.2,2.13,26.0,13.0,17.0,18.0,11.0,27.0,26.0,10.0,21.0,19.0,9.0,14.0,25.0,17.0,24.0,29.0,20.0,25.0,6.0,24.0,32.0,28.0,30.0,14.0,12.0,14.0,13.0,8.0,23.0,28.0
164,DE,Jets,2015,6,283.0,5.0,289.0,287.0,498.0,2946.0,16.0,15.0,5.4,507.0,2280.0,11.0,4.5,112.0,31.7,28.0,1.53,401.0,5.4,13.0,300.0,345.0,3746.0,31.0,6.0,6.4,393.0,1489.0,10.0,3.8,74.0,37.2,28.4,2.03,28.0,22.0,25.0,27.0,32.0,30.0,16.0,30.0,4.0,3.0,17.0,8.0,22.0,25.0,26.0,24.0,6.0,32.0,2.0,14.0,30.0,30.0,18.0,7.0,5.0,11.0,6.0,9.0,8.0,24.0
165,WR,Bears,2015,7,319.0,5.2,322.0,396.0,609.0,3792.0,30.0,19.0,5.8,355.0,1441.0,8.0,4.1,91.0,27.8,29.0,1.68,442.0,6.0,24.0,325.0,366.0,4230.0,34.0,14.0,7.2,421.0,1803.0,12.0,4.3,78.0,44.6,34.0,2.38,23.0,21.0,16.0,7.0,15.0,9.0,30.0,25.0,30.0,27.0,26.0,19.0,28.0,21.0,20.0,31.0,30.0,20.0,20.0,30.0,31.0,14.0,31.0,14.0,17.0,17.0,22.0,1.0,30.0,32.0
166,LB,Falcons,2015,8,381.0,5.8,330.0,418.0,632.0,4553.0,28.0,15.0,6.9,372.0,1498.0,11.0,4.0,75.0,38.9,34.6,2.06,417.0,6.1,28.0,358.0,359.0,4478.0,20.0,16.0,7.6,450.0,1894.0,21.0,4.2,108.0,42.6,37.6,2.25,12.0,8.0,13.0,3.0,5.0,11.0,16.0,7.0,27.0,24.0,17.0,21.0,10.0,4.0,10.0,27.0,32.0,6.0,32.0,32.0,5.0,12.0,32.0,24.0,21.0,32.0,16.0,3.0,32.0,30.0
167, G,Giants,2015,9,380.0,5.4,336.0,383.0,607.0,4272.0,30.0,14.0,6.7,449.0,1603.0,13.0,3.6,83.0,34.7,30.3,1.93,400.0,6.0,26.0,326.0,324.0,3850.0,25.0,17.0,6.8,438.0,2162.0,15.0,4.9,112.0,35.4,30.8,1.88,13.0,10.0,12.0,9.0,7.0,9.0,15.0,9.0,10.0,23.0,12.0,30.0,15.0,16.0,13.0,22.0,29.0,10.0,21.0,18.0,15.0,11.0,24.0,19.0,30.0,24.0,32.0,13.0,20.0,20.0
168,RB,Rams,2015,10,324.0,5.3,288.0,327.0,515.0,3400.0,20.0,16.0,6.0,395.0,1635.0,11.0,4.1,79.0,29.6,26.9,1.55,354.0,5.6,25.0,301.0,368.0,3861.0,18.0,13.0,6.7,425.0,1765.0,12.0,4.2,83.0,30.2,30.8,1.57,21.0,28.0,26.0,23.0,23.0,22.0,19.0,21.0,26.0,20.0,17.0,17.0,26.0,26.0,25.0,16.0,17.0,14.0,4.0,19.0,3.0,18.0,22.0,17.0,14.0,17.0,15.0,26.0,21.0,7.0
169,DB,Vikings,2015,11,325.0,5.1,288.0,322.0,517.0,3244.0,17.0,18.0,5.7,413.0,1804.0,12.0,4.4,90.0,31.8,28.5,1.64,343.0,5.4,19.0,321.0,353.0,3572.0,26.0,13.0,6.2,450.0,1943.0,10.0,4.3,100.0,34.1,30.6,1.83,20.0,27.0,26.0,22.0,28.0,29.0,26.0,27.0,18.0,14.0,14.0,11.0,21.0,22.0,21.0,11.0,14.0,25.0,19.0,7.0,17.0,18.0,14.0,24.0,25.0,11.0,24.0,14.0,18.0,16.0
170,DT,Browns,2015,12,299.0,5.1,294.0,274.0,502.0,3465.0,12.0,16.0,6.5,477.0,1728.0,17.0,3.6,88.0,28.0,26.8,1.44,337.0,5.2,29.0,348.0,335.0,3592.0,22.0,21.0,5.8,500.0,2265.0,13.0,4.5,126.0,32.3,29.3,1.68,27.0,23.0,24.0,26.0,20.0,32.0,19.0,16.0,6.0,17.0,4.0,28.0,27.0,27.0,28.0,9.0,23.0,4.0,29.0,8.0,6.0,2.0,5.0,31.0,32.0,19.0,28.0,21.0,11.0,11.0
171, T,Saints,2015,13,401.0,6.0,395.0,456.0,659.0,4764.0,33.0,17.0,6.9,406.0,1818.0,16.0,4.5,101.0,39.1,37.7,2.3,424.0,6.0,17.0,345.0,341.0,4019.0,26.0,12.0,6.9,442.0,2125.0,17.0,4.8,111.0,43.3,35.8,2.3,9.0,1.0,1.0,2.0,3.0,6.0,24.0,6.0,19.0,13.0,5.0,9.0,9.0,1.0,5.0,28.0,31.0,28.0,28.0,25.0,17.0,21.0,28.0,22.0,29.0,28.0,31.0,2.0,31.0,31.0
172,WR,Dolphins,2015,14,388.0,5.4,361.0,394.0,595.0,3729.0,27.0,12.0,5.8,399.0,1872.0,12.0,4.7,99.0,37.6,30.9,1.99,373.0,5.3,25.0,309.0,338.0,3557.0,27.0,14.0,6.2,453.0,1937.0,13.0,4.3,99.0,36.7,30.3,1.99,11.0,14.0,4.0,12.0,17.0,12.0,8.0,26.0,22.0,12.0,14.0,2.0,11.0,14.0,11.0,20.0,12.0,14.0,9.0,6.0,20.0,14.0,11.0,26.0,24.0,19.0,21.0,10.0,16.0,23.0
173,RB,Chargers,2015,15,348.0,5.4,326.0,380.0,574.0,4098.0,31.0,18.0,6.7,398.0,1367.0,6.0,3.4,75.0,33.9,31.3,1.87,348.0,5.5,18.0,307.0,320.0,3427.0,24.0,7.0,6.2,438.0,1986.0,11.0,4.5,98.0,35.8,30.2,1.88,17.0,18.0,15.0,14.0,10.0,8.0,26.0,8.0,23.0,30.0,29.0,31.0,17.0,11.0,15.0,13.0,9.0,27.0,6.0,4.0,12.0,28.0,15.0,19.0,26.0,14.0,29.0,12.0,14.0,19.0
174,DB,Texans,2015,16,372.0,5.2,313.0,295.0,485.0,3352.0,22.0,13.0,6.6,551.0,2161.0,12.0,3.9,108.0,33.0,28.2,1.69,307.0,5.2,34.0,329.0,363.0,3890.0,28.0,20.0,5.9,420.0,1681.0,6.0,4.0,89.0,26.6,27.8,1.48,14.0,17.0,18.0,30.0,24.0,17.0,13.0,13.0,1.0,5.0,14.0,23.0,18.0,24.0,19.0,7.0,16.0,1.0,22.0,21.0,22.0,3.0,7.0,13.0,10.0,2.0,10.0,32.0,6.0,3.0
175,DT,49ers,2015,17,306.0,5.2,303.0,292.0,487.0,3063.0,20.0,10.0,5.7,470.0,2176.0,10.0,4.6,104.0,30.9,29.4,1.6,340.0,5.2,29.0,308.0,324.0,3531.0,29.0,23.0,6.0,402.0,1612.0,7.0,4.0,83.0,32.0,29.3,1.78,25.0,20.0,22.0,29.0,30.0,22.0,5.0,28.0,9.0,4.0,21.0,4.0,24.0,18.0,22.0,10.0,5.0,4.0,8.0,5.0,25.0,1.0,9.0,10.0,7.0,4.0,11.0,22.0,10.0,15.0
176,DB,Chiefs,2015,18,353.0,5.3,309.0,320.0,493.0,3182.0,18.0,6.0,5.9,420.0,1918.0,18.0,4.6,92.0,35.8,29.4,1.93,281.0,5.2,14.0,310.0,318.0,3252.0,22.0,6.0,5.5,433.0,2036.0,4.0,4.7,108.0,32.6,29.7,1.56,16.0,25.0,21.0,28.0,29.0,27.0,1.0,23.0,16.0,10.0,3.0,5.0,13.0,19.0,14.0,2.0,7.0,30.0,12.0,2.0,6.0,30.0,4.0,18.0,28.0,1.0,30.0,19.0,12.0,6.0
177, C,Browns,2015,19,299.0,5.1,294.0,274.0,502.0,3465.0,12.0,16.0,6.5,477.0,1728.0,17.0,3.6,88.0,28.0,26.8,1.44,337.0,5.2,29.0,348.0,335.0,3592.0,22.0,21.0,5.8,500.0,2265.0,13.0,4.5,126.0,32.3,29.3,1.68,27.0,23.0,24.0,26.0,20.0,32.0,19.0,16.0,6.0,17.0,4.0,28.0,27.0,27.0,28.0,9.0,23.0,4.0,29.0,8.0,6.0,2.0,5.0,31.0,32.0,19.0,28.0,21.0,11.0,11.0
178,WR,Eagles,2015,20,474.0,5.6,356.0,384.0,621.0,4356.0,27.0,21.0,6.7,474.0,1992.0,16.0,4.2,109.0,36.9,31.1,1.96,400.0,5.4,28.0,338.0,345.0,4238.0,30.0,12.0,6.6,473.0,1771.0,14.0,3.7,88.0,31.1,28.2,1.76,3.0,5.0,7.0,5.0,6.0,12.0,32.0,11.0,7.0,9.0,5.0,15.0,12.0,12.0,12.0,22.0,28.0,6.0,26.0,31.0,28.0,21.0,20.0,28.0,15.0,21.0,5.0,25.0,7.0,14.0
179, T,Bengals,2015,21,365.0,5.5,313.0,323.0,503.0,3421.0,20.0,17.0,6.5,492.0,2147.0,19.0,4.4,122.0,34.0,29.1,1.84,344.0,5.4,26.0,337.0,365.0,3888.0,18.0,20.0,6.2,439.0,1861.0,16.0,4.2,105.0,32.6,31.1,1.72,15.0,15.0,18.0,25.0,21.0,22.0,24.0,15.0,5.0,6.0,2.0,12.0,16.0,20.0,16.0,12.0,22.0,10.0,25.0,20.0,3.0,3.0,13.0,21.0,20.0,27.0,18.0,18.0,22.0,12.0
180,LB,Steelers,2015,22,436.0,6.2,379.0,411.0,612.0,4825.0,33.0,10.0,7.5,423.0,1752.0,10.0,4.1,98.0,41.4,37.5,2.23,368.0,6.0,21.0,314.0,350.0,4049.0,30.0,11.0,7.0,368.0,1605.0,9.0,4.4,88.0,39.7,32.4,2.09,7.0,2.0,2.0,6.0,2.0,6.0,5.0,2.0,15.0,16.0,21.0,16.0,4.0,2.0,6.0,18.0,18.0,23.0,16.0,27.0,28.0,25.0,29.0,3.0,6.0,8.0,25.0,5.0,29.0,25.0
181,DE,Broncos,2015,23,482.0,6.0,360.0,399.0,607.0,4661.0,40.0,15.0,7.5,443.0,1785.0,15.0,4.0,98.0,39.9,32.6,2.31,354.0,4.7,25.0,311.0,399.0,3607.0,29.0,18.0,5.3,349.0,1276.0,9.0,3.7,60.0,31.3,24.9,1.72,2.0,4.0,6.0,9.0,4.0,2.0,16.0,4.0,12.0,15.0,9.0,20.0,6.0,7.0,4.0,16.0,3.0,14.0,14.0,9.0,25.0,7.0,1.0,1.0,2.0,8.0,4.0,24.0,1.0,13.0
182, T,Cardinals,2015,24,310.0,5.2,302.0,320.0,568.0,3808.0,21.0,12.0,6.4,397.0,1308.0,6.0,3.3,67.0,30.9,28.3,1.52,299.0,5.8,25.0,300.0,365.0,4152.0,22.0,18.0,6.8,396.0,1739.0,9.0,4.4,77.0,29.8,31.3,1.55,24.0,24.0,23.0,15.0,14.0,20.0,8.0,18.0,24.0,31.0,29.0,32.0,23.0,23.0,27.0,5.0,24.0,14.0,2.0,29.0,6.0,7.0,23.0,8.0,13.0,8.0,26.0,27.0,25.0,5.0
183,LB,Panthers,2015,25,339.0,5.2,347.0,327.0,545.0,3511.0,23.0,12.0,6.0,473.0,2036.0,10.0,4.3,117.0,34.8,31.0,1.79,374.0,5.4,26.0,309.0,364.0,3645.0,25.0,14.0,6.1,397.0,1792.0,14.0,4.5,91.0,34.1,30.3,1.89,19.0,16.0,9.0,19.0,19.0,15.0,8.0,22.0,8.0,7.0,21.0,13.0,14.0,13.0,17.0,21.0,10.0,10.0,9.0,11.0,15.0,14.0,10.0,9.0,16.0,21.0,27.0,14.0,17.0,21.0
184,WR,Ravens,2015,26,409.0,5.7,345.0,344.0,554.0,3819.0,27.0,12.0,6.7,448.0,2019.0,16.0,4.5,113.0,39.6,32.0,2.13,302.0,5.2,22.0,311.0,382.0,3979.0,22.0,11.0,6.2,390.0,1412.0,8.0,3.6,75.0,33.3,29.8,1.67,8.0,12.0,10.0,17.0,13.0,12.0,8.0,12.0,11.0,8.0,5.0,7.0,7.0,9.0,8.0,6.0,8.0,22.0,14.0,23.0,6.0,25.0,12.0,5.0,4.0,5.0,3.0,16.0,13.0,9.0
185,DB,Cowboys,2015,27,467.0,6.1,342.0,328.0,476.0,3784.0,37.0,11.0,7.5,508.0,2354.0,16.0,4.6,106.0,43.6,34.1,2.49,352.0,5.8,31.0,315.0,371.0,4031.0,22.0,18.0,6.9,392.0,1650.0,18.0,4.2,86.0,31.3,31.7,1.83,5.0,7.0,11.0,31.0,16.0,4.0,7.0,3.0,3.0,2.0,5.0,3.0,3.0,6.0,2.0,15.0,19.0,2.0,17.0,26.0,6.0,7.0,27.0,6.0,8.0,31.0,17.0,23.0,27.0,17.0
186, G,Lions,2015,28,321.0,5.2,310.0,365.0,604.0,4030.0,22.0,12.0,6.2,396.0,1422.0,11.0,3.6,72.0,32.4,30.4,1.71,282.0,4.9,27.0,310.0,383.0,3706.0,23.0,20.0,5.8,350.0,1109.0,8.0,3.2,59.0,26.9,26.3,1.49,22.0,19.0,20.0,11.0,12.0,17.0,8.0,19.0,25.0,28.0,17.0,29.0,20.0,15.0,18.0,3.0,2.0,8.0,12.0,13.0,11.0,3.0,6.0,2.0,1.0,5.0,1.0,30.0,4.0,4.0
187,WR,Colts,2015,29,458.0,5.9,371.0,410.0,661.0,4894.0,42.0,16.0,7.1,415.0,1612.0,9.0,3.9,80.0,39.5,31.6,2.18,369.0,5.4,26.0,309.0,320.0,3669.0,27.0,12.0,6.3,423.0,1814.0,14.0,4.3,103.0,28.1,27.5,1.67,6.0,3.0,3.0,1.0,1.0,1.0,19.0,5.0,17.0,22.0,24.0,25.0,8.0,10.0,7.0,19.0,11.0,10.0,9.0,12.0,20.0,21.0,17.0,16.0,18.0,21.0,23.0,29.0,5.0,10.0
188,DB,Packers,2015,30,486.0,6.2,356.0,349.0,536.0,4261.0,38.0,6.0,7.5,435.0,1917.0,14.0,4.4,104.0,46.7,36.5,2.63,348.0,5.3,27.0,339.0,333.0,3623.0,26.0,18.0,6.0,449.0,1919.0,11.0,4.3,116.0,33.1,31.6,1.84,1.0,6.0,7.0,20.0,8.0,3.0,1.0,1.0,14.0,11.0,11.0,10.0,1.0,3.0,1.0,13.0,15.0,8.0,27.0,10.0,17.0,7.0,8.0,23.0,23.0,14.0,20.0,17.0,26.0,18.0
189,LB,Saints,2015,31,401.0,6.0,395.0,456.0,659.0,4764.0,33.0,17.0,6.9,406.0,1818.0,16.0,4.5,101.0,39.1,37.7,2.3,424.0,6.0,17.0,345.0,341.0,4019.0,26.0,12.0,6.9,442.0,2125.0,17.0,4.8,111.0,43.3,35.8,2.3,9.0,1.0,1.0,2.0,3.0,6.0,24.0,6.0,19.0,13.0,5.0,9.0,9.0,1.0,5.0,28.0,31.0,28.0,28.0,25.0,17.0,21.0,28.0,22.0,29.0,28.0,31.0,2.0,31.0,31.0
190,DT,Patriots,2015,32,468.0,5.5,361.0,392.0,609.0,4121.0,34.0,9.0,6.5,438.0,1727.0,13.0,3.9,96.0,45.3,32.3,2.4,313.0,5.3,25.0,329.0,342.0,3837.0,24.0,16.0,6.2,419.0,1669.0,6.0,4.0,88.0,32.4,30.2,1.63,4.0,11.0,4.0,7.0,9.0,5.0,4.0,17.0,13.0,18.0,12.0,22.0,2.0,8.0,3.0,8.0,13.0,14.0,22.0,17.0,12.0,12.0,16.0,12.0,9.0,2.0,9.0,20.0,15.0,8.0
191,DE,Texans,2014,1,276.0,5.1,307.0,371.0,633.0,3813.0,19.0,22.0,5.6,414.0,1743.0,7.0,4.2,90.0,25.9,27.6,1.29,428.0,5.2,11.0,282.0,287.0,3123.0,29.0,7.0,6.1,454.0,1958.0,11.0,4.3,88.0,36.1,26.1,1.91,31.0,11.0,20.0,6.0,15.0,25.0,28.0,25.0,22.0,20.0,28.0,15.0,30.0,21.0,31.0,24.0,7.0,32.0,3.0,3.0,21.0,32.0,13.0,24.0,23.0,11.0,22.0,11.0,5.0,22.0
192, T,Rams,2014,2,348.0,5.0,282.0,301.0,506.0,3125.0,22.0,11.0,5.8,426.0,1752.0,10.0,4.1,82.0,31.5,26.5,1.64,364.0,5.4,29.0,337.0,355.0,3874.0,21.0,14.0,6.7,440.0,1646.0,18.0,3.7,87.0,31.0,30.0,1.78,21.0,30.0,26.0,28.0,27.0,20.0,7.0,22.0,17.0,19.0,23.0,18.0,21.0,25.0,21.0,13.0,15.0,10.0,25.0,19.0,7.0,20.0,24.0,16.0,9.0,27.0,3.0,24.0,21.0,16.0
193,QB,Jaguars,2014,3,247.0,4.6,271.0,349.0,592.0,3441.0,16.0,21.0,5.4,378.0,1260.0,7.0,3.3,71.0,23.6,24.0,1.18,449.0,5.6,21.0,353.0,354.0,3962.0,29.0,11.0,6.8,507.0,2108.0,20.0,4.2,121.0,38.1,30.7,2.14,32.0,31.0,31.0,11.0,22.0,30.0,27.0,31.0,28.0,31.0,28.0,31.0,32.0,29.0,32.0,28.0,27.0,24.0,28.0,25.0,21.0,26.0,26.0,32.0,29.0,29.0,19.0,7.0,23.0,25.0
194,WR,Bills,2014,4,339.0,4.8,301.0,299.0,522.0,3103.0,16.0,15.0,5.4,546.0,2307.0,15.0,4.2,113.0,29.9,25.2,1.48,388.0,4.9,30.0,308.0,310.0,3271.0,28.0,23.0,5.3,471.0,2063.0,10.0,4.4,98.0,32.2,24.7,1.68,22.0,19.0,22.0,24.0,28.0,30.0,16.0,29.0,1.0,2.0,10.0,14.0,23.0,28.0,25.0,20.0,10.0,6.0,12.0,4.0,20.0,2.0,3.0,28.0,28.0,8.0,23.0,20.0,2.0,12.0
195,LB,Raiders,2014,5,322.0,5.3,275.0,298.0,519.0,3340.0,17.0,20.0,5.9,437.0,2000.0,16.0,4.6,90.0,27.8,27.4,1.52,453.0,5.7,22.0,330.0,374.0,4092.0,33.0,9.0,7.0,442.0,1727.0,15.0,3.9,100.0,38.6,30.8,2.17,24.0,23.0,30.0,25.0,24.0,29.0,24.0,18.0,16.0,12.0,7.0,6.0,26.0,23.0,23.0,29.0,22.0,21.0,23.0,28.0,30.0,31.0,28.0,18.0,13.0,23.0,11.0,6.0,24.0,27.0
196, T,Falcons,2014,6,353.0,5.4,330.0,445.0,659.0,4243.0,26.0,17.0,6.0,321.0,1247.0,11.0,3.9,64.0,34.1,30.7,1.85,443.0,6.1,21.0,326.0,341.0,3897.0,31.0,10.0,7.1,455.0,2173.0,14.0,4.8,102.0,45.1,34.7,2.38,20.0,14.0,9.0,3.0,7.0,11.0,19.0,17.0,32.0,32.0,21.0,24.0,16.0,8.0,17.0,27.0,27.0,24.0,16.0,21.0,29.0,29.0,32.0,26.0,31.0,18.0,31.0,1.0,29.0,32.0
197,WR,Buccaneers,2014,7,288.0,4.5,269.0,291.0,514.0,2820.0,22.0,12.0,5.0,420.0,1612.0,6.0,3.8,75.0,27.1,23.4,1.41,389.0,5.5,31.0,324.0,352.0,3806.0,30.0,21.0,6.5,438.0,1762.0,10.0,4.0,95.0,38.0,29.8,1.99,30.0,32.0,32.0,26.0,32.0,20.0,10.0,32.0,21.0,22.0,31.0,25.0,28.0,32.0,27.0,21.0,17.0,3.0,15.0,17.0,27.0,3.0,21.0,15.0,15.0,8.0,16.0,8.0,20.0,24.0
198,DB,Browns,2014,8,308.0,5.0,301.0,379.0,681.0,4040.0,26.0,20.0,5.5,348.0,1383.0,4.0,4.0,77.0,26.2,27.8,1.4,406.0,4.8,21.0,328.0,363.0,3538.0,29.0,14.0,5.5,462.0,1781.0,13.0,3.9,103.0,34.0,26.1,1.85,27.0,18.0,22.0,1.0,11.0,11.0,24.0,27.0,30.0,27.0,32.0,23.0,29.0,19.0,28.0,23.0,9.0,24.0,20.0,8.0,21.0,20.0,4.0,27.0,18.0,17.0,8.0,16.0,6.0,20.0
199,LB,Vikings,2014,9,391.0,5.4,309.0,325.0,546.0,3427.0,18.0,19.0,5.8,423.0,2081.0,23.0,4.9,106.0,34.4,28.3,1.87,480.0,5.6,20.0,368.0,419.0,4595.0,37.0,12.0,6.7,443.0,1767.0,14.0,4.0,101.0,39.6,32.2,2.22,14.0,13.0,19.0,20.0,23.0,27.0,20.0,21.0,18.0,8.0,1.0,2.0,14.0,18.0,14.0,32.0,31.0,27.0,30.0,31.0,32.0,24.0,23.0,19.0,16.0,18.0,13.0,4.0,27.0,29.0
200,TE,Lions,2014,10,395.0,5.7,350.0,371.0,634.0,4482.0,29.0,19.0,6.8,445.0,1792.0,15.0,4.0,106.0,32.1,31.8,1.86,376.0,5.6,22.0,290.0,338.0,3950.0,24.0,15.0,6.5,377.0,1596.0,10.0,4.2,62.0,35.7,27.7,1.75,13.0,6.0,7.0,5.0,3.0,8.0,20.0,8.0,14.0,17.0,10.0,22.0,19.0,7.0,15.0,15.0,16.0,21.0,8.0,23.0,13.0,17.0,20.0,4.0,6.0,8.0,20.0,13.0,13.0,15.0
201, T,Titans,2014,11,362.0,5.2,311.0,328.0,533.0,3496.0,22.0,16.0,6.1,462.0,1894.0,16.0,4.1,103.0,34.2,29.1,1.85,381.0,5.3,25.0,329.0,344.0,3612.0,15.0,13.0,6.2,446.0,1795.0,21.0,4.0,108.0,35.8,28.3,1.83,19.0,22.0,18.0,23.0,21.0,20.0,17.0,14.0,10.0,14.0,7.0,19.0,15.0,16.0,16.0,16.0,14.0,18.0,21.0,11.0,1.0,22.0,15.0,22.0,20.0,30.0,17.0,12.0,15.0,19.0
202,WR,Giants,2014,12,294.0,5.0,280.0,325.0,567.0,3588.0,18.0,29.0,5.9,381.0,1332.0,11.0,3.5,77.0,25.5,23.9,1.33,383.0,4.9,29.0,327.0,361.0,3573.0,21.0,17.0,5.6,454.0,1743.0,12.0,3.8,101.0,31.0,26.5,1.59,28.0,28.0,27.0,19.0,19.0,27.0,32.0,19.0,27.0,29.0,21.0,30.0,31.0,30.0,30.0,18.0,8.0,10.0,17.0,10.0,7.0,12.0,8.0,24.0,14.0,15.0,6.0,23.0,9.0,8.0
203,DT,Rams,2014,13,348.0,5.0,282.0,301.0,506.0,3125.0,22.0,11.0,5.8,426.0,1752.0,10.0,4.1,82.0,31.5,26.5,1.64,364.0,5.4,29.0,337.0,355.0,3874.0,21.0,14.0,6.7,440.0,1646.0,18.0,3.7,87.0,31.0,30.0,1.78,21.0,30.0,26.0,28.0,27.0,20.0,7.0,22.0,17.0,19.0,23.0,18.0,21.0,25.0,21.0,13.0,15.0,10.0,25.0,19.0,7.0,20.0,24.0,16.0,9.0,27.0,3.0,24.0,21.0,16.0
