ID,Pick Number,Team PF,Team TO,Team Att,Team Yds.1,Team TD,Team Int,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Opp. PF,Opp. TO,Opp. Att,Opp. Yds.1,Opp. TD,Opp. Int,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Off. Rank PF,Off. Rank Yds.1,Off. Rank TO,Off. Rank Att,Def. Rank PF,Def. Rank Yds.1,Def. Rank TO,Def. Rank Att
120,25,395.0,17.0,567.0,3030.0,20.0,13.0,460.0,1856.0,14.0,4.0,111.0,303.0,34.0,569.0,3421.0,18.0,22.0,435.0,1780.0,12.0,4.1,87.0,9.0,29.0,7.0,11.0,6.0,10.0,1.0,26.0
121,26,353.0,18.0,530.0,3990.0,21.0,12.0,430.0,1847.0,12.0,4.3,101.0,315.0,16.0,553.0,3429.0,22.0,8.0,402.0,1665.0,9.0,4.1,97.0,15.0,8.0,9.0,20.0,8.0,12.0,27.0,16.0
122,27,366.0,17.0,555.0,3657.0,34.0,12.0,409.0,1629.0,4.0,4.0,85.0,332.0,25.0,554.0,3347.0,19.0,14.0,452.0,1824.0,14.0,4.0,90.0,11.0,14.0,7.0,16.0,13.0,6.0,9.0,17.0
123,28,406.0,20.0,590.0,4380.0,29.0,15.0,437.0,1667.0,12.0,3.8,96.0,308.0,22.0,499.0,3217.0,20.0,16.0,385.0,1693.0,14.0,4.4,89.0,8.0,3.0,11.0,6.0,7.0,5.0,13.0,2.0
124,29,417.0,23.0,527.0,3593.0,21.0,13.0,527.0,2262.0,18.0,4.3,101.0,268.0,33.0,509.0,2718.0,17.0,21.0,429.0,1860.0,9.0,4.3,91.0,5.0,17.0,19.0,21.0,2.0,1.0,2.0,4.0
125,30,382.0,14.0,527.0,3753.0,25.0,8.0,501.0,1957.0,15.0,3.9,100.0,252.0,19.0,555.0,3078.0,13.0,14.0,364.0,1337.0,10.0,3.7,59.0,10.0,11.0,3.0,21.0,1.0,2.0,23.0,19.0
126,31,458.0,12.0,587.0,4418.0,32.0,8.0,448.0,1889.0,16.0,4.2,107.0,296.0,18.0,590.0,4020.0,24.0,12.0,390.0,1836.0,6.0,4.7,98.0,2.0,2.0,2.0,7.0,5.0,30.0,25.0,30.0
127,32,395.0,17.0,567.0,3030.0,20.0,13.0,460.0,1856.0,14.0,4.0,111.0,303.0,34.0,569.0,3421.0,18.0,22.0,435.0,1780.0,12.0,4.1,87.0,9.0,29.0,7.0,11.0,6.0,10.0,1.0,26.0
128,1,264.0,25.0,567.0,3264.0,15.0,14.0,350.0,1712.0,13.0,4.9,83.0,452.0,13.0,543.0,3996.0,36.0,10.0,498.0,2283.0,18.0,4.6,121.0,31.0,28.0,21.0,18.0,30.0,21.0,30.0,7.0
129,2,279.0,31.0,559.0,3969.0,19.0,19.0,380.0,1735.0,10.0,4.6,93.0,399.0,11.0,530.0,3598.0,22.0,8.0,445.0,1950.0,18.0,4.4,99.0,28.0,14.0,30.0,22.0,24.0,7.0,32.0,4.0
130,3,309.0,25.0,491.0,2911.0,21.0,10.0,458.0,2019.0,15.0,4.4,116.0,480.0,20.0,521.0,3848.0,30.0,10.0,548.0,2654.0,25.0,4.8,140.0,27.0,32.0,21.0,29.0,32.0,14.0,19.0,2.0
131,4,318.0,29.0,626.0,3728.0,24.0,16.0,392.0,1631.0,8.0,4.2,75.0,400.0,13.0,551.0,3444.0,20.0,7.0,446.0,1703.0,17.0,3.8,93.0,25.0,20.0,27.0,4.0,25.0,5.0,30.0,13.0
132,5,381.0,18.0,504.0,3541.0,29.0,11.0,476.0,2187.0,16.0,4.6,115.0,378.0,18.0,635.0,4307.0,25.0,12.0,356.0,1413.0,10.0,4.0,70.0,14.0,25.0,11.0,28.0,16.0,30.0,23.0,31.0
133,6,275.0,34.0,550.0,3466.0,16.0,25.0,418.0,1802.0,10.0,4.3,97.0,409.0,14.0,545.0,3898.0,30.0,8.0,428.0,1581.0,11.0,3.7,86.0,30.0,27.0,31.0,23.0,28.0,17.0,28.0,8.0
134,7,410.0,35.0,580.0,4198.0,33.0,21.0,398.0,1510.0,10.0,3.8,90.0,423.0,28.0,580.0,3987.0,21.0,18.0,410.0,1567.0,20.0,3.8,98.0,9.0,8.0,32.0,15.0,29.0,20.0,4.0,18.0
135,8,369.0,29.0,563.0,3685.0,21.0,19.0,453.0,1814.0,16.0,4.0,99.0,402.0,27.0,612.0,4291.0,27.0,17.0,376.0,1465.0,11.0,3.9,90.0,15.0,21.0,27.0,20.0,26.0,29.0,7.0,28.0
136,9,325.0,17.0,563.0,3942.0,18.0,8.0,446.0,1769.0,17.0,4.0,100.0,315.0,20.0,593.0,3800.0,22.0,17.0,412.0,1812.0,12.0,4.4,95.0,24.0,15.0,8.0,20.0,8.0,11.0,19.0,25.0
137,10,389.0,17.0,546.0,3740.0,19.0,8.0,412.0,1748.0,15.0,4.2,86.0,311.0,33.0,598.0,3958.0,23.0,18.0,437.0,1938.0,10.0,4.4,102.0,13.0,19.0,8.0,25.0,7.0,18.0,1.0,27.0
138,11,469.0,24.0,674.0,5074.0,38.0,15.0,404.0,1742.0,17.0,4.3,105.0,454.0,21.0,582.0,4380.0,27.0,9.0,396.0,1626.0,19.0,4.1,91.0,2.0,1.0,19.0,2.0,31.0,32.0,17.0,19.0
139,12,279.0,24.0,583.0,3176.0,15.0,16.0,456.0,1859.0,8.0,4.1,102.0,328.0,17.0,522.0,3226.0,20.0,11.0,397.0,1595.0,13.0,4.0,87.0,28.0,29.0,19.0,14.0,11.0,2.0,26.0,3.0
140,13,418.0,28.0,646.0,4136.0,28.0,17.0,399.0,1732.0,20.0,4.3,97.0,362.0,28.0,547.0,3365.0,21.0,14.0,424.0,1518.0,16.0,3.6,90.0,6.0,9.0,26.0,3.0,14.0,4.0,4.0,9.0
141,14,367.0,20.0,609.0,3585.0,16.0,14.0,438.0,1813.0,16.0,4.1,114.0,331.0,26.0,553.0,3832.0,25.0,16.0,391.0,1652.0,10.0,4.2,89.0,16.0,24.0,14.0,6.0,12.0,13.0,10.0,15.0
142,15,411.0,22.0,584.0,4202.0,32.0,15.0,409.0,1628.0,13.0,4.0,93.0,392.0,17.0,582.0,4200.0,27.0,8.0,409.0,1926.0,12.0,4.7,93.0,8.0,5.0,16.0,13.0,22.0,27.0,26.0,19.0
143,16,343.0,23.0,679.0,4100.0,20.0,16.0,367.0,1463.0,10.0,4.0,79.0,321.0,28.0,578.0,3724.0,28.0,18.0,384.0,1430.0,10.0,3.7,74.0,21.0,12.0,17.0,1.0,9.0,9.0,4.0,17.0
144,17,396.0,21.0,607.0,4758.0,25.0,12.0,379.0,1696.0,17.0,4.5,89.0,383.0,21.0,589.0,4130.0,22.0,13.0,423.0,1916.0,19.0,4.5,109.0,12.0,2.0,15.0,7.0,19.0,25.0,17.0,22.0
145,18,381.0,18.0,504.0,3541.0,29.0,11.0,476.0,2187.0,16.0,4.6,115.0,378.0,18.0,635.0,4307.0,25.0,12.0,356.0,1413.0,10.0,4.0,70.0,14.0,25.0,11.0,28.0,16.0,30.0,23.0,31.0
146,19,354.0,27.0,578.0,3926.0,29.0,18.0,453.0,1616.0,8.0,3.6,80.0,369.0,29.0,548.0,4012.0,24.0,17.0,427.0,1875.0,15.0,4.4,102.0,18.0,16.0,24.0,16.0,15.0,22.0,3.0,10.0
147,20,333.0,25.0,570.0,3685.0,20.0,11.0,410.0,1484.0,11.0,3.6,76.0,297.0,27.0,552.0,2972.0,13.0,14.0,482.0,2085.0,15.0,4.3,101.0,22.0,21.0,21.0,17.0,4.0,1.0,7.0,14.0
148,21,346.0,15.0,594.0,4111.0,24.0,10.0,350.0,1310.0,9.0,3.7,76.0,358.0,14.0,549.0,3975.0,33.0,10.0,389.0,1701.0,8.0,4.4,99.0,20.0,11.0,5.0,11.0,13.0,19.0,28.0,12.0
149,22,363.0,23.0,477.0,3500.0,27.0,15.0,406.0,1824.0,14.0,4.5,90.0,380.0,25.0,591.0,3875.0,30.0,16.0,464.0,2247.0,12.0,4.8,109.0,17.0,26.0,17.0,31.0,18.0,15.0,11.0,24.0
150,23,310.0,27.0,598.0,3879.0,26.0,16.0,398.0,1412.0,6.0,3.5,73.0,284.0,25.0,630.0,4018.0,15.0,17.0,397.0,1417.0,10.0,3.6,82.0,26.0,17.0,24.0,8.0,2.0,23.0,11.0,29.0
151,24,416.0,14.0,596.0,4051.0,29.0,7.0,434.0,1922.0,17.0,4.4,98.0,385.0,30.0,541.0,4120.0,27.0,16.0,421.0,1881.0,18.0,4.5,94.0,7.0,13.0,4.0,9.0,20.0,24.0,2.0,6.0
152,25,264.0,25.0,567.0,3264.0,15.0,14.0,350.0,1712.0,13.0,4.9,83.0,452.0,13.0,543.0,3996.0,36.0,10.0,498.0,2283.0,18.0,4.6,121.0,31.0,28.0,21.0,18.0,30.0,21.0,30.0,7.0
153,26,540.0,11.0,537.0,4725.0,38.0,7.0,421.0,1928.0,20.0,4.6,108.0,406.0,22.0,655.0,4267.0,31.0,12.0,370.0,1672.0,15.0,4.5,95.0,1.0,3.0,1.0,26.0,27.0,28.0,16.0,32.0
154,27,399.0,12.0,474.0,3036.0,17.0,7.0,492.0,2630.0,29.0,5.3,146.0,378.0,18.0,511.0,3582.0,19.0,12.0,469.0,2130.0,21.0,4.5,122.0,10.0,30.0,3.0,32.0,16.0,6.0,23.0,1.0
155,28,421.0,15.0,483.0,3631.0,25.0,6.0,499.0,2396.0,24.0,4.8,142.0,306.0,20.0,633.0,4167.0,25.0,9.0,340.0,1336.0,9.0,3.9,79.0,5.0,23.0,5.0,30.0,5.0,26.0,19.0,30.0
156,29,264.0,25.0,567.0,3264.0,15.0,14.0,350.0,1712.0,13.0,4.9,83.0,452.0,13.0,543.0,3996.0,36.0,10.0,498.0,2283.0,18.0,4.6,121.0,31.0,28.0,21.0,18.0,30.0,21.0,30.0,7.0
157,30,399.0,18.0,596.0,4202.0,33.0,15.0,409.0,1760.0,13.0,4.3,97.0,327.0,23.0,590.0,3882.0,20.0,13.0,369.0,1600.0,15.0,4.3,95.0,10.0,5.0,11.0,9.0,10.0,16.0,14.0,23.0
158,31,309.0,25.0,491.0,2911.0,21.0,10.0,458.0,2019.0,15.0,4.4,116.0,480.0,20.0,521.0,3848.0,30.0,10.0,548.0,2654.0,25.0,4.8,140.0,27.0,32.0,21.0,29.0,32.0,14.0,19.0,2.0
159,32,469.0,24.0,674.0,5074.0,38.0,15.0,404.0,1742.0,17.0,4.3,105.0,454.0,21.0,582.0,4380.0,27.0,9.0,396.0,1626.0,19.0,4.1,91.0,2.0,1.0,19.0,2.0,31.0,32.0,17.0,19.0
160,1,280.0,22.0,473.0,2805.0,11.0,11.0,429.0,1956.0,16.0,4.6,92.0,330.0,26.0,597.0,4065.0,21.0,13.0,453.0,1820.0,7.0,4.0,98.0,29.0,32.0,15.0,29.0,13.0,23.0,10.0,22.0
161,2,377.0,31.0,623.0,4087.0,23.0,18.0,442.0,1743.0,15.0,3.9,110.0,430.0,26.0,633.0,4273.0,36.0,15.0,478.0,2153.0,10.0,4.5,100.0,13.0,12.0,29.0,6.0,28.0,28.0,10.0,28.0
162,3,320.0,24.0,667.0,4591.0,30.0,13.0,393.0,1358.0,4.0,3.5,79.0,398.0,20.0,510.0,3786.0,22.0,11.0,417.0,2005.0,17.0,4.8,101.0,26.0,4.0,17.0,2.0,21.0,14.0,24.0,3.0
163,4,275.0,33.0,528.0,3471.0,16.0,22.0,408.0,1890.0,8.0,4.6,94.0,374.0,11.0,506.0,3636.0,19.0,8.0,460.0,1931.0,16.0,4.2,113.0,31.0,27.0,31.0,23.0,16.0,5.0,32.0,2.0
164,5,376.0,28.0,607.0,4108.0,35.0,18.0,354.0,1473.0,5.0,4.2,69.0,448.0,18.0,602.0,4291.0,29.0,9.0,464.0,1709.0,15.0,3.7,102.0,14.0,10.0,22.0,12.0,31.0,29.0,27.0,24.0
165,6,328.0,28.0,676.0,4271.0,21.0,21.0,383.0,1478.0,8.0,3.9,89.0,401.0,14.0,545.0,3737.0,30.0,6.0,418.0,1661.0,10.0,4.0,80.0,25.0,8.0,22.0,1.0,24.0,10.0,30.0,10.0
166,7,238.0,17.0,526.0,3316.0,16.0,12.0,390.0,1544.0,7.0,4.0,83.0,387.0,12.0,549.0,4179.0,21.0,9.0,504.0,2020.0,20.0,4.0,128.0,32.0,29.0,4.0,24.0,18.0,27.0,31.0,12.0
167,8,299.0,33.0,551.0,3503.0,25.0,17.0,371.0,1485.0,10.0,4.0,66.0,423.0,19.0,503.0,3678.0,34.0,11.0,462.0,1797.0,11.0,3.9,101.0,28.0,25.0,31.0,21.0,27.0,7.0,25.0,1.0
168,9,335.0,21.0,523.0,3663.0,21.0,12.0,468.0,1854.0,13.0,4.0,108.0,397.0,17.0,513.0,3593.0,31.0,8.0,433.0,1934.0,9.0,4.5,103.0,23.0,23.0,13.0,25.0,20.0,4.0,28.0,5.0
169,10,420.0,21.0,623.0,4347.0,36.0,14.0,403.0,1609.0,5.0,4.0,77.0,442.0,28.0,638.0,4783.0,31.0,15.0,444.0,1942.0,15.0,4.4,104.0,6.0,7.0,13.0,6.0,30.0,32.0,6.0,29.0
170,11,342.0,28.0,535.0,3852.0,22.0,15.0,455.0,2162.0,12.0,4.8,99.0,417.0,23.0,541.0,3840.0,31.0,11.0,466.0,1606.0,12.0,3.4,104.0,20.0,17.0,22.0,22.0,26.0,16.0,16.0,7.0
171,12,408.0,20.0,667.0,4970.0,32.0,12.0,397.0,1491.0,16.0,3.8,98.0,476.0,22.0,544.0,4544.0,45.0,9.0,422.0,2071.0,12.0,4.9,103.0,8.0,1.0,11.0,2.0,32.0,31.0,19.0,9.0
172,13,310.0,19.0,588.0,3811.0,24.0,12.0,344.0,1496.0,11.0,4.3,72.0,389.0,16.0,542.0,4000.0,31.0,13.0,503.0,2019.0,13.0,4.0,112.0,27.0,19.0,8.0,17.0,19.0,21.0,29.0,8.0
173,14,359.0,24.0,605.0,3879.0,34.0,14.0,370.0,1457.0,7.0,3.9,74.0,399.0,25.0,641.0,4140.0,25.0,14.0,406.0,1678.0,12.0,4.1,94.0,17.0,16.0,17.0,14.0,22.0,26.0,12.0,30.0
174,15,278.0,30.0,609.0,3782.0,20.0,12.0,380.0,1529.0,5.0,4.0,81.0,432.0,21.0,511.0,4012.0,34.0,11.0,458.0,2055.0,11.0,4.5,104.0,30.0,21.0,26.0,11.0,29.0,22.0,22.0,4.0
175,16,358.0,24.0,632.0,4212.0,33.0,14.0,354.0,1335.0,7.0,3.8,71.0,400.0,19.0,528.0,3789.0,27.0,9.0,428.0,1808.0,18.0,4.2,96.0,18.0,9.0,17.0,4.0,23.0,15.0,25.0,6.0
176,17,339.0,30.0,621.0,4379.0,21.0,17.0,420.0,1606.0,13.0,3.8,95.0,345.0,23.0,561.0,3882.0,19.0,15.0,416.0,1680.0,20.0,4.0,107.0,21.0,6.0,26.0,8.0,14.0,18.0,16.0,15.0
177,18,333.0,30.0,619.0,3704.0,26.0,19.0,396.0,1438.0,6.0,3.6,77.0,408.0,25.0,585.0,4114.0,29.0,17.0,452.0,1952.0,14.0,4.3,89.0,24.0,22.0,26.0,9.0,25.0,24.0,12.0,20.0
178,19,379.0,19.0,465.0,3343.0,23.0,9.0,509.0,2432.0,19.0,4.8,122.0,359.0,25.0,602.0,3972.0,30.0,17.0,394.0,1730.0,10.0,4.4,87.0,12.0,28.0,8.0,31.0,15.0,19.0,12.0,24.0
179,20,387.0,24.0,604.0,4057.0,33.0,16.0,448.0,1868.0,11.0,4.2,99.0,314.0,30.0,601.0,3763.0,25.0,18.0,373.0,1335.0,4.0,3.6,62.0,11.0,13.0,17.0,15.0,9.0,13.0,3.0,23.0
180,21,339.0,20.0,619.0,3833.0,29.0,12.0,472.0,1731.0,7.0,3.7,90.0,313.0,25.0,553.0,3366.0,24.0,14.0,388.0,1597.0,10.0,4.1,79.0,21.0,18.0,11.0,9.0,7.0,3.0,12.0,14.0
181,22,388.0,22.0,555.0,4095.0,30.0,11.0,429.0,1566.0,9.0,3.7,81.0,379.0,27.0,566.0,4128.0,30.0,11.0,406.0,1962.0,10.0,4.8,103.0,10.0,11.0,15.0,20.0,17.0,25.0,8.0,17.0
182,23,365.0,17.0,454.0,2928.0,14.0,9.0,474.0,2211.0,18.0,4.7,113.0,302.0,22.0,561.0,3762.0,24.0,13.0,411.0,1748.0,7.0,4.3,94.0,16.0,31.0,4.0,32.0,5.0,12.0,19.0,15.0
183,24,419.0,17.0,505.0,3923.0,31.0,9.0,467.0,1805.0,18.0,3.9,99.0,279.0,28.0,646.0,3976.0,18.0,21.0,344.0,1477.0,8.0,4.3,74.0,7.0,15.0,4.0,26.0,2.0,20.0,6.0,31.0
184,25,423.0,28.0,590.0,4603.0,26.0,21.0,388.0,1724.0,16.0,4.4,91.0,319.0,30.0,625.0,4350.0,29.0,17.0,382.0,1459.0,6.0,3.8,71.0,4.0,3.0,22.0,16.0,11.0,30.0,3.0,27.0
185,26,355.0,31.0,606.0,3970.0,19.0,23.0,411.0,1718.0,13.0,4.2,85.0,296.0,27.0,573.0,3193.0,19.0,14.0,408.0,1337.0,10.0,3.3,81.0,19.0,14.0,29.0,13.0,4.0,1.0,8.0,18.0
186,27,368.0,17.0,573.0,3503.0,31.0,8.0,436.0,1850.0,8.0,4.2,100.0,323.0,22.0,551.0,3642.0,20.0,16.0,420.0,1905.0,13.0,4.5,96.0,15.0,25.0,4.0,18.0,12.0,6.0,19.0,13.0
187,28,238.0,17.0,526.0,3316.0,16.0,12.0,390.0,1544.0,7.0,4.0,83.0,387.0,12.0,549.0,4179.0,21.0,9.0,504.0,2020.0,20.0,4.0,128.0,32.0,29.0,4.0,24.0,18.0,27.0,31.0,12.0
188,29,489.0,24.0,562.0,4616.0,35.0,13.0,452.0,1917.0,16.0,4.2,92.0,313.0,33.0,573.0,3687.0,24.0,19.0,373.0,1460.0,9.0,3.9,79.0,2.0,2.0,17.0,19.0,7.0,8.0,2.0,18.0
189,30,500.0,19.0,501.0,3589.0,35.0,10.0,526.0,2282.0,19.0,4.3,136.0,308.0,39.0,650.0,3752.0,21.0,24.0,364.0,1415.0,11.0,3.9,74.0,1.0,24.0,8.0,27.0,6.0,11.0,1.0,32.0
190,31,423.0,16.0,489.0,3790.0,34.0,8.0,500.0,2268.0,10.0,4.5,128.0,277.0,23.0,548.0,3364.0,14.0,14.0,362.0,1304.0,10.0,3.6,71.0,4.0,20.0,3.0,28.0,1.0,2.0,16.0,11.0
191,1,277.0,33.0,531.0,3297.0,21.0,20.0,353.0,1375.0,7.0,3.9,72.0,410.0,25.0,563.0,4084.0,28.0,14.0,468.0,1819.0,15.0,3.9,103.0,29.0,25.0,31.0,21.0,25.0,28.0,14.0,21.0
192,2,254.0,26.0,513.0,3412.0,20.0,16.0,356.0,1447.0,6.0,4.1,75.0,438.0,16.0,545.0,3773.0,28.0,12.0,515.0,2195.0,17.0,4.3,119.0,30.0,22.0,21.0,24.0,29.0,15.0,29.0,13.0
193,3,249.0,26.0,557.0,3001.0,15.0,18.0,360.0,1633.0,9.0,4.5,86.0,412.0,20.0,541.0,3899.0,24.0,6.0,499.0,2033.0,15.0,4.1,107.0,32.0,31.0,21.0,16.0,26.0,22.0,24.0,10.0
194,4,253.0,29.0,629.0,3275.0,22.0,16.0,337.0,1240.0,4.0,3.7,56.0,452.0,14.0,538.0,3810.0,29.0,9.0,481.0,1911.0,17.0,4.0,95.0,31.0,26.0,26.0,4.0,32.0,16.0,30.0,7.0
195,5,301.0,31.0,547.0,4047.0,18.0,18.0,401.0,1691.0,15.0,4.2,88.0,438.0,19.0,519.0,3990.0,35.0,7.0,421.0,1722.0,11.0,4.1,77.0,26.0,11.0,29.0,18.0,29.0,24.0,25.0,2.0
196,6,283.0,24.0,498.0,2946.0,16.0,15.0,507.0,2280.0,11.0,4.5,112.0,401.0,13.0,538.0,3746.0,31.0,6.0,393.0,1489.0,10.0,3.8,74.0,28.0,32.0,19.0,27.0,24.0,14.0,32.0,7.0
197,7,319.0,29.0,609.0,3792.0,30.0,19.0,355.0,1441.0,8.0,4.1,91.0,442.0,24.0,548.0,4230.0,34.0,14.0,421.0,1803.0,12.0,4.3,78.0,23.0,15.0,26.0,7.0,31.0,30.0,20.0,16.0
198,8,381.0,23.0,632.0,4553.0,28.0,15.0,372.0,1498.0,11.0,4.0,75.0,417.0,28.0,566.0,4478.0,20.0,16.0,450.0,1894.0,21.0,4.2,108.0,12.0,5.0,13.0,3.0,27.0,32.0,6.0,23.0
199,9,380.0,28.0,607.0,4272.0,30.0,14.0,449.0,1603.0,13.0,3.6,83.0,400.0,26.0,522.0,3850.0,25.0,17.0,438.0,2162.0,15.0,4.9,112.0,13.0,7.0,25.0,9.0,22.0,18.0,10.0,3.0
200,10,324.0,27.0,515.0,3400.0,20.0,16.0,395.0,1635.0,11.0,4.1,79.0,354.0,25.0,540.0,3861.0,18.0,13.0,425.0,1765.0,12.0,4.2,83.0,21.0,23.0,24.0,23.0,16.0,19.0,14.0,9.0
201,11,325.0,20.0,517.0,3244.0,17.0,18.0,413.0,1804.0,12.0,4.4,90.0,343.0,19.0,534.0,3572.0,26.0,13.0,450.0,1943.0,10.0,4.3,100.0,20.0,28.0,6.0,22.0,11.0,7.0,25.0,5.0
202,12,299.0,23.0,502.0,3465.0,12.0,16.0,477.0,1728.0,17.0,3.6,88.0,337.0,29.0,587.0,3592.0,22.0,21.0,500.0,2265.0,13.0,4.5,126.0,27.0,20.0,13.0,26.0,9.0,8.0,4.0,26.0
203,13,401.0,30.0,659.0,4764.0,33.0,17.0,406.0,1818.0,16.0,4.5,101.0,424.0,17.0,546.0,4019.0,26.0,12.0,442.0,2125.0,17.0,4.8,111.0,9.0,3.0,28.0,2.0,28.0,25.0,28.0,15.0
204,14,388.0,23.0,595.0,3729.0,27.0,12.0,399.0,1872.0,12.0,4.7,99.0,373.0,25.0,537.0,3557.0,27.0,14.0,453.0,1937.0,13.0,4.3,99.0,11.0,17.0,13.0,12.0,20.0,6.0,14.0,6.0
205,15,348.0,23.0,574.0,4098.0,31.0,18.0,398.0,1367.0,6.0,3.4,75.0,348.0,18.0,524.0,3427.0,24.0,7.0,438.0,1986.0,11.0,4.5,98.0,17.0,10.0,13.0,14.0,13.0,4.0,27.0,4.0
206,16,372.0,22.0,485.0,3352.0,22.0,13.0,551.0,2161.0,12.0,3.9,108.0,307.0,34.0,619.0,3890.0,28.0,20.0,420.0,1681.0,6.0,4.0,89.0,14.0,24.0,11.0,30.0,7.0,21.0,1.0,31.0
207,17,306.0,22.0,487.0,3063.0,20.0,10.0,470.0,2176.0,10.0,4.6,104.0,340.0,29.0,551.0,3531.0,29.0,23.0,402.0,1612.0,7.0,4.0,83.0,25.0,30.0,11.0,29.0,10.0,5.0,4.0,17.0
208,18,353.0,17.0,493.0,3182.0,18.0,6.0,420.0,1918.0,18.0,4.6,92.0,281.0,14.0,545.0,3252.0,22.0,6.0,433.0,2036.0,4.0,4.7,108.0,16.0,29.0,4.0,28.0,2.0,2.0,30.0,13.0
209,19,299.0,23.0,502.0,3465.0,12.0,16.0,477.0,1728.0,17.0,3.6,88.0,337.0,29.0,587.0,3592.0,22.0,21.0,500.0,2265.0,13.0,4.5,126.0,27.0,20.0,13.0,26.0,9.0,8.0,4.0,26.0
210,20,474.0,36.0,621.0,4356.0,27.0,21.0,474.0,1992.0,16.0,4.2,109.0,400.0,28.0,591.0,4238.0,30.0,12.0,473.0,1771.0,14.0,3.7,88.0,3.0,6.0,32.0,5.0,22.0,31.0,6.0,27.0
211,21,365.0,26.0,503.0,3421.0,20.0,17.0,492.0,2147.0,19.0,4.4,122.0,344.0,26.0,608.0,3888.0,18.0,20.0,439.0,1861.0,16.0,4.2,105.0,15.0,21.0,21.0,25.0,12.0,20.0,10.0,30.0
212,22,436.0,21.0,612.0,4825.0,33.0,10.0,423.0,1752.0,10.0,4.1,98.0,368.0,21.0,543.0,4049.0,30.0,11.0,368.0,1605.0,9.0,4.4,88.0,7.0,2.0,10.0,6.0,18.0,27.0,23.0,11.0
213,23,482.0,20.0,607.0,4661.0,40.0,15.0,443.0,1785.0,15.0,4.0,98.0,354.0,25.0,641.0,3607.0,29.0,18.0,349.0,1276.0,9.0,3.7,60.0,2.0,4.0,6.0,9.0,16.0,9.0,14.0,32.0
214,24,310.0,17.0,568.0,3808.0,21.0,12.0,397.0,1308.0,6.0,3.3,67.0,299.0,25.0,579.0,4152.0,22.0,18.0,396.0,1739.0,9.0,4.4,77.0,24.0,14.0,4.0,15.0,5.0,29.0,14.0,25.0
215,25,339.0,23.0,545.0,3511.0,23.0,12.0,473.0,2036.0,10.0,4.3,117.0,374.0,26.0,562.0,3645.0,25.0,14.0,397.0,1792.0,14.0,4.5,91.0,19.0,19.0,13.0,19.0,21.0,11.0,10.0,20.0
216,26,409.0,20.0,554.0,3819.0,27.0,12.0,448.0,2019.0,16.0,4.5,113.0,302.0,22.0,595.0,3979.0,22.0,11.0,390.0,1412.0,8.0,3.6,75.0,8.0,13.0,6.0,17.0,6.0,23.0,22.0,29.0
217,27,467.0,25.0,476.0,3784.0,37.0,11.0,508.0,2354.0,16.0,4.6,106.0,352.0,31.0,558.0,4031.0,22.0,18.0,392.0,1650.0,18.0,4.2,86.0,5.0,16.0,20.0,31.0,15.0,26.0,2.0,18.0
218,28,321.0,20.0,604.0,4030.0,22.0,12.0,396.0,1422.0,11.0,3.6,72.0,282.0,27.0,592.0,3706.0,23.0,20.0,350.0,1109.0,8.0,3.2,59.0,22.0,12.0,6.0,11.0,3.0,13.0,8.0,28.0
219,29,458.0,31.0,661.0,4894.0,42.0,16.0,415.0,1612.0,9.0,3.9,80.0,369.0,26.0,543.0,3669.0,27.0,12.0,423.0,1814.0,14.0,4.3,103.0,6.0,1.0,29.0,1.0,19.0,12.0,10.0,11.0
220,30,486.0,13.0,536.0,4261.0,38.0,6.0,435.0,1917.0,14.0,4.4,104.0,348.0,27.0,564.0,3623.0,26.0,18.0,449.0,1919.0,11.0,4.3,116.0,1.0,8.0,1.0,20.0,13.0,10.0,8.0,22.0
221,31,401.0,30.0,659.0,4764.0,33.0,17.0,406.0,1818.0,16.0,4.5,101.0,424.0,17.0,546.0,4019.0,26.0,12.0,442.0,2125.0,17.0,4.8,111.0,9.0,3.0,28.0,2.0,28.0,25.0,28.0,15.0
222,32,468.0,13.0,609.0,4121.0,34.0,9.0,438.0,1727.0,13.0,3.9,96.0,313.0,25.0,574.0,3837.0,24.0,16.0,419.0,1669.0,6.0,4.0,88.0,4.0,9.0,1.0,7.0,8.0,17.0,14.0,24.0
223,1,276.0,31.0,633.0,3813.0,19.0,22.0,414.0,1743.0,7.0,4.2,90.0,428.0,11.0,484.0,3123.0,29.0,7.0,454.0,1958.0,11.0,4.3,88.0,31.0,15.0,26.0,6.0,24.0,3.0,32.0,1.0
224,2,348.0,21.0,506.0,3125.0,22.0,11.0,426.0,1752.0,10.0,4.1,82.0,364.0,29.0,521.0,3874.0,21.0,14.0,440.0,1646.0,18.0,3.7,87.0,21.0,27.0,10.0,28.0,13.0,19.0,10.0,6.0
225,3,247.0,27.0,592.0,3441.0,16.0,21.0,378.0,1260.0,7.0,3.3,71.0,449.0,21.0,551.0,3962.0,29.0,11.0,507.0,2108.0,20.0,4.2,121.0,32.0,22.0,19.0,11.0,28.0,25.0,24.0,14.0
226,4,339.0,27.0,522.0,3103.0,16.0,15.0,546.0,2307.0,15.0,4.2,113.0,388.0,30.0,561.0,3271.0,28.0,23.0,471.0,2063.0,10.0,4.4,98.0,22.0,28.0,19.0,24.0,20.0,4.0,6.0,16.0
